timestamp_ms,rssi,csi_len,csi_bytes,label
171977,-75,384,74;-96;4;0;0;0;0;0;0;0;-2;2;-6;9;-7;8;-7;7;-7;7;-6;8;-6;8;-6;7;-7;7;-7;8;-7;9;-7;10;-7;10;-7;9;-7;8;-8;9;-8;9;-9;8;-9;8;-9;7;-9;7;-10;8;-10;8;-10;8;-11;8;-11;7;-11;8;-6;4;-11;7;-12;8;-12;8;-12;8;-12;7;-12;7;-12;7;-11;7;-12;6;-12;7;-12;8;-11;8;-11;8;-11;7;-13;7;-13;7;-13;7;-13;8;-14;8;-12;8;-11;6;-12;6;-12;5;-12;6;-12;7;-12;8;-3;2;0;0;0;0;0;0;0;0;-1;-1;1;2;10;20;10;20;14;19;18;19;18;20;18;21;17;21;15;20;15;19;15;18;16;18;16;18;16;18;15;18;17;19;18;20;18;19;17;17;16;18;18;19;20;17;19;16;18;18;18;18;19;18;21;18;21;19;21;19;21;20;22;22;25;23;25;24;23;23;22;21;22;21;22;22;22;24;22;24;21;25;20;25;20;26;22;26;24;25;21;28;19;30;21;31;21;31;18;33;16;36;16;37;16;37;14;38;10;37;7;36;5;38;4;41;5;42;1;10;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-3;3;-12;14;-13;14;-13;14;-14;14;-15;13;-14;13;-14;13;-15;11;-16;12;-15;15;-13;17;-14;15;-14;13;-14;14;-18;16;-20;17;-19;16;-18;13;-17;13;-17;13;-17;14;-19;14;-19;14;-20;14;-21;14;-21;14;-22;13;-22;14;-23;14;-22;14;-21;14;-20;12;-21;10;-22;11;-21;12;-22;12;-22;13;-22;13;-21;13;-21;14;-22;13;-23;13;-23;13;-20;13;-21;14;-22;14;-22;14;-21;15;-21;14;-20;13;-20;14;-22;14;-22;13;-21;13;-21;16;-22;15;-23;12;-3;1,empty
172070,-78,384,74;-96;4;0;0;0;0;0;0;0;0;4;0;15;0;15;-1;14;-1;13;0;13;-1;14;-1;15;-1;15;-1;14;-1;14;-1;14;0;13;0;13;-1;13;0;12;-1;13;-2;14;-1;14;-1;13;0;13;-1;13;-2;13;-2;13;-1;13;-2;13;-2;13;-1;7;-1;15;-1;14;0;14;-1;14;-2;13;-2;13;-1;13;-1;13;0;14;0;14;0;14;0;13;0;13;-1;13;-1;13;-1;14;0;14;0;14;0;13;0;14;0;14;0;13;0;13;1;13;1;13;2;13;0;3;0;0;0;0;0;0;0;0;-1;-1;2;0;24;2;27;0;27;-3;25;-3;22;-6;21;-5;22;-4;22;-4;22;-5;21;-6;22;-8;23;-9;21;-10;20;-10;22;-9;21;-8;20;-8;21;-9;23;-11;25;-13;25;-13;24;-13;22;-14;21;-13;20;-12;22;-13;24;-14;23;-17;23;-17;26;-16;32;-12;27;-17;26;-15;27;-13;28;-13;28;-14;27;-13;30;-13;33;-15;34;-17;34;-18;34;-16;34;-15;35;-13;36;-12;38;-11;39;-10;41;-8;43;-7;43;-7;41;-5;40;-2;41;2;41;4;42;4;44;6;43;10;10;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;1;8;4;32;2;28;1;25;1;23;2;25;2;26;0;27;1;27;1;27;1;26;1;25;1;24;-1;25;-2;25;-1;25;-1;26;-1;26;0;26;0;25;-1;25;-2;25;-1;26;-1;27;-2;27;-2;27;-1;28;1;31;-2;29;-2;28;-1;26;-2;25;-5;24;-5;24;-3;23;-2;24;-1;27;1;28;0;26;0;25;0;26;-1;27;0;28;0;28;1;28;1;28;0;28;-1;26;-1;25;-1;25;-1;26;0;26;2;25;2;25;2;27;1;27;1;28;2;27;0;3,empty
172170,-79,384,74;-96;4;0;0;0;0;0;0;0;-2;-3;-7;-9;-7;-8;-7;-8;-8;-9;-6;-9;-6;-9;-7;-9;-8;-9;-8;-10;-7;-10;-7;-10;-7;-9;-7;-9;-8;-8;-8;-8;-7;-9;-6;-9;-6;-10;-6;-11;-6;-10;-5;-10;-6;-10;-6;-10;-6;-10;-6;-11;-6;-12;-3;-6;-6;-12;-5;-12;-6;-12;-6;-12;-5;-12;-5;-12;-5;-12;-5;-12;-7;-13;-8;-13;-7;-12;-6;-11;-5;-12;-5;-12;-5;-12;-6;-12;-6;-13;-6;-12;-6;-12;-7;-12;-7;-12;-6;-11;-5;-11;-6;-11;-7;-12;-7;-12;-2;-3;0;0;0;0;0;0;0;0;-1;-1;-4;-1;-25;-1;-24;-1;-25;-1;-28;-1;-25;7;-26;7;-25;7;-25;6;-24;6;-24;7;-24;8;-26;8;-27;8;-27;9;-29;9;-29;9;-28;9;-26;9;-28;8;-29;7;-30;9;-29;11;-29;10;-29;9;-31;7;-32;8;-32;10;-32;12;-34;11;-36;10;-41;2;-37;9;-37;8;-37;7;-37;7;-38;5;-40;4;-41;2;-41;2;-42;2;-46;1;-48;1;-47;2;-46;-1;-47;-7;-49;-10;-49;-10;-48;-11;-48;-15;-48;-18;-47;-22;-47;-23;-46;-23;-43;-23;-43;-24;-43;-28;-42;-31;-11;-9;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-2;-5;-8;-19;-8;-17;-8;-17;-7;-18;-6;-18;-6;-18;-7;-19;-8;-18;-8;-18;-8;-18;-9;-18;-9;-18;-10;-18;-10;-19;-9;-20;-8;-21;-7;-22;-7;-22;-6;-23;-6;-23;-5;-22;-5;-21;-6;-21;-6;-21;-6;-21;-6;-22;0;-24;-6;-23;-5;-23;-4;-23;-4;-23;-2;-22;-2;-22;-4;-22;-5;-23;-5;-24;-7;-24;-7;-23;-6;-22;-5;-23;-4;-23;-4;-22;-3;-22;-4;-23;-4;-24;-4;-24;-4;-24;-4;-24;-4;-23;-5;-22;-6;-22;-7;-23;-7;-24;0;-25;-1;-28;-3;-30;-3;-27;-1;-4,empty
172272,-76,384,74;-96;4;0;0;0;0;0;0;0;-3;-1;-11;-2;-13;-1;-13;-1;-13;0;-12;0;-12;-1;-13;-2;-13;-2;-13;-2;-14;-2;-15;-2;-15;-2;-13;-2;-13;-2;-14;-2;-14;-3;-14;-2;-14;-2;-13;-3;-14;-4;-14;-4;-14;-4;-13;-4;-14;-4;-14;-5;-15;-5;-8;-3;-15;-5;-14;-5;-14;-4;-15;-4;-14;-5;-14;-5;-13;-5;-13;-5;-14;-6;-15;-6;-16;-5;-15;-3;-15;-4;-15;-4;-15;-4;-14;-4;-14;-4;-14;-5;-14;-5;-14;-4;-14;-4;-14;-4;-14;-4;-15;-4;-15;-3;-15;-3;-4;-1;0;0;0;0;0;0;0;0;-1;-1;-1;3;-8;25;-8;24;-7;24;-6;23;-4;24;-3;24;-3;24;-3;24;-2;23;-1;22;0;23;0;25;0;26;1;26;2;25;2;26;2;25;1;24;0;26;0;26;1;26;1;25;3;25;3;25;2;26;3;27;4;28;6;27;5;28;4;30;7;30;7;30;5;31;4;32;3;33;3;32;2;32;2;34;2;35;2;35;1;36;1;37;2;36;1;36;-2;38;-4;40;-5;40;-7;40;-9;40;-10;40;-12;41;-13;40;-15;39;-15;39;-16;38;-19;38;-23;39;-7;9;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-6;-1;-22;-1;-23;-1;-24;-2;-23;-2;-23;-2;-24;-2;-26;-3;-25;-3;-24;-4;-25;-5;-27;-4;-27;-4;-25;-5;-26;-5;-26;-6;-26;-6;-26;-5;-26;-5;-26;-6;-27;-8;-27;-8;-26;-7;-26;-7;-26;-8;-26;-8;-27;-9;-26;-9;-25;-8;-24;-8;-24;-8;-25;-8;-26;-9;-26;-10;-25;-10;-25;-11;-27;-12;-29;-13;-29;-11;-28;-9;-26;-7;-28;-8;-29;-9;-28;-8;-26;-8;-26;-9;-27;-9;-27;-8;-28;-7;-28;-8;-28;-8;-28;-8;-27;-8;-27;-6;-28;-5;-28;-6;-29;-8;-30;-9;-4;-2,empty
172383,-72,128,74;-96;4;0;0;0;0;0;0;0;-2;5;-9;20;-10;20;-11;22;-11;22;-11;20;-11;19;-11;19;-10;19;-10;19;-10;19;-11;20;-11;21;-11;21;-11;20;-11;20;-12;22;-12;22;-11;21;-9;21;-10;20;-10;20;-11;20;-11;20;-11;20;-12;21;-12;20;-6;10;-11;23;-10;22;-10;22;-9;22;-9;22;-10;21;-10;22;-10;22;-9;20;-10;19;-10;20;-9;21;-8;21;-9;22;-10;22;-10;22;-10;21;-9;21;-8;21;-8;21;-9;21;-9;22;-8;21;-8;21;-7;20;-6;19;-2;4;0;0;0;0;0;0;0;0,empty
172484,-78,384,74;-96;4;0;0;0;0;0;0;0;-3;-1;-10;-3;-10;-3;-10;-2;-10;-2;-10;-3;-10;-3;-9;-2;-9;-3;-9;-4;-10;-4;-10;-4;-10;-4;-10;-4;-10;-4;-10;-4;-10;-3;-10;-4;-11;-4;-11;-5;-11;-5;-10;-5;-10;-5;-10;-5;-10;-6;-10;-6;-11;-5;-6;-3;-10;-7;-10;-7;-10;-6;-10;-6;-11;-6;-10;-7;-10;-7;-10;-7;-11;-5;-11;-5;-12;-5;-11;-5;-10;-5;-11;-6;-11;-7;-11;-6;-11;-6;-11;-6;-11;-6;-11;-6;-12;-7;-12;-7;-12;-7;-12;-6;-11;-6;-11;-7;-3;-2;0;0;0;0;0;0;0;0;-1;-1;-1;2;-8;21;-9;22;-10;24;-10;24;-10;23;-9;22;-9;22;-9;23;-8;23;-8;23;-8;23;-10;24;-10;23;-9;23;-8;24;-9;24;-10;25;-9;24;-8;24;-9;26;-9;27;-9;27;-9;27;-9;26;-9;25;-9;26;-8;28;-8;28;-9;28;-10;30;-9;33;-12;32;-12;31;-12;31;-12;32;-14;32;-16;32;-17;32;-17;33;-17;34;-18;36;-20;36;-22;34;-23;34;-25;34;-28;33;-29;31;-30;31;-32;31;-35;31;-37;30;-39;28;-39;25;-39;23;-41;23;-42;21;-42;19;-11;4;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-4;-2;-16;-5;-17;-5;-18;-6;-18;-6;-17;-6;-17;-6;-17;-6;-17;-7;-17;-8;-17;-8;-18;-8;-20;-7;-21;-7;-20;-8;-19;-9;-20;-9;-21;-9;-20;-9;-20;-8;-20;-9;-19;-10;-20;-11;-20;-10;-19;-9;-19;-9;-20;-10;-20;-11;-20;-11;-18;-11;-18;-12;-19;-11;-19;-11;-19;-12;-19;-12;-18;-12;-18;-11;-18;-10;-20;-10;-20;-11;-20;-11;-21;-11;-21;-12;-20;-12;-19;-11;-20;-11;-21;-12;-21;-11;-21;-12;-20;-12;-21;-11;-22;-10;-22;-11;-21;-11;-23;-10;-23;-10;-24;-10;-25;-12;-4;-2,empty
172571,-78,384,74;-96;4;0;0;0;0;0;0;0;-3;1;-11;6;-11;6;-10;6;-10;6;-9;6;-9;6;-10;6;-11;6;-10;6;-11;6;-12;6;-13;7;-12;7;-12;7;-12;6;-13;6;-13;5;-13;4;-13;4;-13;4;-13;5;-13;5;-14;4;-14;4;-14;5;-13;5;-7;2;-15;4;-15;4;-15;4;-15;4;-13;3;-13;3;-13;3;-14;3;-14;5;-14;6;-14;5;-14;4;-14;4;-15;4;-15;4;-15;4;-14;4;-14;4;-14;4;-14;4;-14;4;-14;4;-13;4;-14;4;-14;4;-13;4;-4;1;0;0;0;0;0;0;0;0;-1;-1;2;2;17;22;18;23;16;21;16;21;14;23;14;22;13;23;13;23;12;23;13;22;14;21;14;21;15;20;16;21;16;23;16;23;16;22;16;21;16;22;16;22;17;23;17;23;16;23;16;26;17;27;18;27;19;26;20;26;20;27;19;27;25;24;20;27;19;27;18;28;19;30;19;32;18;33;17;33;18;35;17;37;17;38;16;39;15;39;14;40;14;44;12;46;9;45;8;43;8;45;6;48;3;48;0;46;-2;45;-4;46;-6;48;-8;49;-12;48;-4;12;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-4;4;-15;16;-15;15;-15;15;-16;15;-16;15;-17;14;-16;14;-15;14;-16;14;-16;14;-17;15;-18;15;-18;15;-19;16;-20;15;-21;13;-20;13;-20;13;-21;12;-21;11;-22;12;-24;13;-24;14;-24;12;-24;12;-23;13;-18;18;-23;12;-25;12;-25;11;-23;12;-22;12;-22;11;-22;10;-23;10;-23;11;-22;13;-23;12;-24;12;-25;14;-25;13;-24;12;-23;13;-23;14;-24;13;-25;12;-25;11;-25;11;-24;12;-23;11;-23;10;-24;12;-23;14;-22;19;-22;18;-20;17;-21;18;-3;2,empty
172708,-77,384,74;-96;4;0;0;0;0;0;0;0;-4;-2;-12;-7;-11;-5;-12;-5;-12;-5;-12;-5;-12;-5;-12;-5;-12;-6;-12;-7;-12;-7;-13;-7;-13;-7;-13;-6;-12;-7;-12;-9;-13;-9;-14;-9;-13;-9;-12;-9;-11;-8;-11;-8;-11;-8;-11;-9;-11;-9;-12;-9;-12;-9;-6;-5;-11;-10;-11;-10;-11;-10;-11;-9;-11;-10;-11;-11;-11;-10;-11;-10;-11;-10;-11;-10;-11;-10;-10;-10;-9;-9;-10;-10;-11;-10;-11;-10;-11;-10;-11;-9;-11;-10;-11;-10;-11;-10;-9;-9;-9;-9;-9;-9;-10;-10;-11;-9;-3;-3;0;0;0;0;0;0;0;0;-1;-1;-4;0;-23;5;-23;7;-23;8;-24;8;-20;14;-20;14;-20;13;-20;13;-20;14;-19;14;-20;13;-20;14;-19;15;-17;16;-17;18;-18;19;-19;16;-19;14;-20;15;-21;16;-22;17;-21;17;-19;17;-19;17;-20;17;-21;18;-21;18;-21;18;-22;17;-23;19;-32;17;-26;21;-25;17;-26;16;-26;17;-26;16;-28;15;-30;16;-30;17;-31;16;-32;15;-33;15;-34;16;-36;15;-39;11;-40;8;-39;7;-38;6;-39;5;-40;4;-42;3;-45;3;-45;0;-43;-2;-43;-4;-44;-8;-44;-10;-12;-3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-6;-4;-23;-14;-23;-12;-24;-11;-24;-12;-24;-13;-22;-13;-21;-13;-22;-13;-22;-13;-21;-13;-20;-14;-20;-14;-20;-14;-21;-15;-21;-17;-22;-19;-23;-17;-22;-15;-20;-16;-19;-18;-19;-18;-19;-18;-18;-18;-19;-18;-18;-17;-18;-17;-16;-21;-18;-20;-17;-20;-17;-19;-17;-18;-16;-19;-16;-21;-16;-20;-16;-20;-16;-22;-17;-24;-18;-22;-18;-21;-18;-20;-17;-20;-15;-21;-13;-22;-12;-20;-12;-20;-15;-21;-15;-20;-15;-20;-15;-20;-15;-19;-15;-20;-15;-21;-14;-22;-8;-26;-10;-26;-12;-25;-12;-25;-2;-4,empty
172770,-78,384,74;-96;4;0;0;0;0;0;0;0;1;2;6;10;6;10;5;10;5;10;6;11;6;10;6;11;5;11;5;11;5;11;5;12;5;12;5;13;5;13;4;13;4;13;5;13;6;13;5;13;6;13;5;13;4;14;3;14;4;14;5;15;5;16;2;8;3;15;4;15;4;15;4;15;4;14;4;14;4;14;4;14;3;15;2;16;3;16;3;15;4;15;4;15;4;15;4;15;4;15;4;14;5;14;5;14;5;14;4;14;4;14;5;14;5;15;5;16;1;4;0;0;0;0;0;0;0;0;-1;-1;4;1;33;9;30;5;31;1;33;2;28;-8;27;-9;27;-9;26;-9;25;-9;26;-10;26;-11;26;-11;27;-10;27;-11;27;-12;29;-13;30;-14;28;-14;26;-13;27;-13;29;-14;29;-13;28;-14;27;-15;27;-14;28;-15;29;-16;30;-18;31;-18;32;-19;38;-9;33;-17;33;-15;34;-15;34;-15;34;-13;35;-14;36;-17;38;-17;42;-17;45;-17;44;-15;43;-14;43;-11;43;-9;45;-7;47;-6;48;-5;49;-4;51;-4;51;-2;50;1;49;4;48;5;48;5;50;9;49;16;12;4;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;5;6;23;4;23;4;22;4;22;4;23;3;22;2;21;3;22;4;23;5;23;6;24;6;25;8;24;6;23;3;25;2;27;3;28;5;26;5;24;4;24;2;25;2;27;4;29;4;29;4;30;4;31;-2;32;2;28;2;27;2;28;1;30;1;29;0;29;-1;27;0;27;0;29;1;32;2;30;2;28;3;28;2;30;0;30;1;29;1;28;2;28;3;29;4;29;4;29;3;28;2;27;3;27;2;28;2;29;-5;30;-5;31;-5;30;-5;29;-1;3,empty
172870,-78,384,74;-96;4;0;0;0;0;0;0;0;-1;4;-2;16;-3;15;-3;14;-2;15;-2;14;-1;14;-1;14;-2;13;-2;13;-3;14;-4;15;-4;15;-4;13;-4;13;-4;14;-4;16;-3;16;-4;15;-4;15;-5;15;-5;15;-5;15;-5;15;-5;15;-4;14;-4;15;-3;7;-7;14;-5;14;-4;14;-5;14;-4;13;-4;12;-4;13;-3;14;-1;16;-1;17;-3;16;-4;14;-4;13;-4;13;-4;14;-4;14;-4;14;-4;14;-3;14;-3;14;-2;13;-2;13;-2;14;-3;13;-3;13;-4;13;-1;3;0;0;0;0;0;0;0;0;-1;-1;3;-2;23;-9;21;-8;22;-8;24;-9;25;-7;25;-8;24;-7;23;-7;22;-7;23;-7;23;-8;24;-9;24;-10;24;-11;24;-12;24;-13;24;-12;24;-13;24;-13;26;-13;26;-13;25;-13;24;-14;24;-13;25;-11;26;-12;26;-15;26;-17;28;-18;29;-19;28;-25;31;-18;31;-17;31;-17;32;-18;31;-17;31;-16;32;-16;33;-16;34;-17;37;-18;38;-17;38;-17;38;-16;39;-14;41;-13;42;-11;43;-10;45;-8;45;-8;46;-6;48;-3;49;-1;47;0;47;4;47;6;48;7;11;1;-1;-1;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;6;2;27;1;28;-1;29;-1;28;-1;27;1;26;1;26;-2;28;-3;28;-2;27;-2;28;-1;28;0;27;0;27;-1;28;-2;29;-3;29;-5;29;-4;29;-3;28;-3;27;-4;28;-4;28;-3;27;-3;27;-2;28;4;27;-5;25;-4;26;-4;28;-4;29;-4;28;-5;26;-5;25;-4;28;-3;28;-1;27;-1;26;-2;26;-3;25;-2;25;-2;25;-3;26;-2;26;0;26;0;26;-1;27;-1;27;1;26;0;25;0;25;0;27;0;26;5;25;4;25;4;25;4;25;0;3,empty
