timestamp_ms,rssi,csi_len,csi_bytes,label
3592154,-68,384,74;-96;4;0;0;0;0;0;0;0;-2;4;-8;18;-8;18;-9;18;-10;17;-10;17;-11;17;-12;17;-12;16;-12;16;-12;16;-13;16;-13;16;-13;15;-14;15;-14;14;-14;14;-13;14;-13;13;-13;13;-13;13;-13;13;-13;13;-12;12;-12;12;-13;13;-12;13;-6;6;-11;13;-11;13;-11;13;-10;13;-10;13;-10;13;-9;13;-9;13;-9;14;-9;14;-8;14;-8;14;-8;14;-8;14;-7;14;-7;15;-7;15;-6;15;-5;15;-5;15;-5;15;-5;15;-5;15;-5;15;-5;15;-4;15;-1;4;0;0;0;0;0;0;0;0;-1;-1;3;1;28;10;29;9;31;9;30;9;30;4;31;3;31;3;31;3;30;2;30;2;30;1;30;0;30;0;29;-1;30;-2;30;-4;31;-4;31;-4;30;-4;30;-5;30;-5;29;-6;30;-7;30;-7;30;-7;30;-7;29;-9;29;-11;30;-12;30;-13;31;-11;29;-13;30;-12;31;-12;31;-13;31;-14;32;-13;32;-14;33;-15;33;-15;32;-16;33;-16;33;-16;35;-16;36;-15;36;-14;35;-14;36;-13;37;-13;38;-12;38;-12;39;-11;40;-10;39;-10;39;-10;40;-8;40;-7;9;-2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;-1;-5;7;-19;32;-20;31;-22;31;-23;30;-23;29;-24;29;-25;28;-26;27;-26;26;-27;26;-26;28;-27;28;-27;27;-28;25;-28;24;-29;23;-29;22;-28;21;-27;21;-27;21;-27;20;-27;20;-25;21;-25;22;-25;22;-25;23;-26;21;-24;22;-24;21;-23;22;-22;21;-22;21;-22;22;-21;22;-21;22;-20;24;-18;24;-17;24;-17;25;-18;25;-18;25;-17;25;-16;26;-15;26;-14;26;-14;26;-14;27;-14;28;-14;28;-13;27;-11;28;-11;29;-11;29;-15;27;-14;29;-14;31;-14;31;-2;3,empty
3592256,-68,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-21;-2;-22;-2;-22;-1;-21;0;-21;1;-22;2;-21;2;-21;2;-21;2;-21;2;-21;2;-21;2;-21;3;-20;3;-20;4;-20;4;-19;3;-19;3;-18;3;-18;3;-18;3;-18;2;-18;2;-18;2;-18;1;-9;1;-17;1;-17;1;-17;1;-17;1;-17;0;-17;0;-17;-1;-16;-1;-16;-2;-16;-2;-16;-3;-16;-3;-16;-3;-16;-3;-17;-4;-17;-4;-16;-5;-16;-5;-16;-6;-16;-6;-16;-6;-16;-6;-16;-7;-15;-7;-15;-7;-15;-2;-4;0;0;0;0;0;0;0;0;-1;-1;-5;0;-32;6;-31;8;-31;10;-31;10;-28;15;-27;15;-27;15;-27;16;-25;16;-24;16;-25;17;-25;18;-24;18;-23;19;-23;20;-23;21;-23;21;-22;21;-22;22;-22;22;-21;22;-20;22;-20;23;-20;23;-20;23;-19;24;-18;26;-17;28;-17;29;-17;30;-20;28;-16;30;-17;29;-17;30;-17;30;-18;31;-19;31;-19;31;-18;33;-17;33;-16;32;-16;33;-17;35;-18;36;-19;35;-21;35;-21;35;-19;36;-20;36;-22;35;-24;34;-25;33;-25;33;-24;33;-26;34;-27;34;-28;34;-8;8;-1;-1;0;0;0;0;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-10;-1;-40;1;-40;3;-40;4;-40;5;-39;6;-39;7;-39;9;-39;10;-38;9;-38;8;-39;9;-39;10;-38;10;-37;11;-37;12;-36;12;-35;12;-34;12;-33;12;-33;12;-33;11;-32;11;-32;10;-32;9;-32;7;-33;9;-31;7;-31;7;-30;7;-30;6;-30;7;-30;7;-31;5;-31;5;-30;3;-30;1;-29;0;-30;0;-31;-1;-31;-2;-31;-2;-31;-2;-31;-3;-31;-3;-31;-4;-30;-5;-30;-6;-31;-6;-31;-7;-30;-8;-30;-9;-30;-9;-30;-5;-31;-5;-32;-6;-33;-7;-33;-1;-5,empty
3592356,-64,384,74;-96;4;0;0;0;0;0;0;0;5;-1;21;-3;21;-2;21;-1;21;0;21;0;21;1;21;1;21;2;20;2;21;3;21;3;21;3;20;4;20;4;19;5;19;5;19;5;18;5;18;5;18;5;18;5;17;5;17;5;17;4;17;4;17;4;8;2;17;3;17;4;17;3;16;3;16;3;16;3;16;2;16;2;16;1;16;1;16;0;16;0;16;0;16;-1;16;-1;16;-1;16;-2;16;-2;16;-3;16;-3;16;-3;16;-3;15;-4;15;-4;15;-4;15;-5;3;-2;0;0;0;0;0;0;0;0;-1;-1;-1;-4;-6;-30;-7;-31;-8;-32;-9;-31;-12;-28;-13;-28;-13;-28;-13;-28;-13;-27;-14;-27;-15;-27;-15;-26;-16;-26;-17;-25;-18;-25;-19;-25;-18;-24;-19;-24;-19;-24;-20;-24;-21;-23;-20;-22;-21;-22;-21;-22;-21;-21;-22;-21;-23;-21;-24;-21;-25;-20;-26;-20;-27;-22;-27;-20;-27;-21;-27;-21;-27;-20;-27;-20;-27;-21;-27;-21;-28;-21;-29;-21;-30;-21;-29;-22;-29;-22;-30;-23;-30;-23;-30;-24;-30;-25;-30;-25;-30;-25;-30;-27;-29;-27;-29;-28;-27;-28;-27;-29;-27;-30;-27;-30;-27;-31;-7;-8;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9;-1;39;0;40;1;40;3;40;4;39;6;39;7;39;8;39;9;38;10;37;10;38;10;38;10;37;11;37;12;36;13;35;13;34;13;33;13;33;13;32;13;31;13;31;12;31;12;32;11;32;11;32;11;30;12;30;10;30;10;30;9;30;8;30;8;30;7;30;6;30;6;30;5;30;4;30;3;30;3;30;2;31;2;31;2;31;1;30;0;30;-1;30;-2;30;-2;30;-3;29;-3;29;-3;29;-4;30;-5;30;-5;30;-4;31;-4;32;-5;32;-5;3;-1,empty
3592454,-66,384,74;-96;4;0;0;0;0;0;0;0;2;-4;11;-14;11;-13;12;-13;13;-13;13;-12;13;-12;13;-11;14;-10;14;-10;14;-10;15;-10;15;-10;15;-10;15;-9;15;-8;15;-8;14;-8;14;-7;15;-7;14;-7;14;-7;14;-6;14;-7;14;-7;14;-7;14;-8;6;-4;13;-7;13;-7;13;-8;13;-8;13;-7;13;-8;13;-8;12;-8;12;-8;11;-9;11;-10;11;-10;12;-10;12;-10;12;-10;12;-10;12;-11;11;-11;11;-11;11;-11;11;-12;11;-12;11;-12;11;-13;11;-13;10;-12;2;-3;0;0;0;0;0;0;0;0;-1;-1;-3;-4;-21;-26;-23;-26;-23;-26;-23;-26;-26;-21;-26;-21;-26;-22;-26;-22;-26;-21;-27;-21;-27;-21;-27;-21;-28;-20;-28;-19;-29;-18;-30;-18;-30;-18;-30;-18;-30;-18;-30;-18;-31;-18;-30;-17;-31;-16;-30;-16;-30;-17;-31;-16;-32;-15;-33;-14;-34;-14;-36;-15;-35;-17;-35;-15;-35;-16;-36;-16;-35;-16;-36;-16;-37;-17;-37;-18;-37;-18;-37;-18;-38;-17;-39;-17;-40;-17;-41;-18;-41;-21;-39;-22;-39;-23;-39;-23;-39;-24;-38;-26;-38;-27;-37;-29;-35;-29;-35;-28;-35;-30;-34;-32;-34;-33;-9;-9;0;0;0;0;0;0;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;5;-6;23;-21;25;-21;26;-21;27;-19;27;-18;28;-16;28;-15;29;-14;29;-13;29;-14;30;-14;30;-14;30;-14;30;-13;30;-11;29;-10;29;-10;28;-9;29;-9;29;-8;29;-8;29;-9;28;-9;27;-10;28;-11;28;-11;29;-10;27;-10;26;-10;26;-10;25;-11;26;-10;26;-11;26;-11;26;-12;25;-12;24;-13;24;-14;25;-15;25;-16;25;-16;25;-15;25;-16;24;-17;24;-18;24;-18;23;-18;23;-19;23;-19;23;-19;22;-20;23;-21;23;-21;25;-20;26;-21;27;-21;26;-21;3;-3,empty
3592554,-67,384,74;-96;4;0;0;0;0;0;0;0;2;3;10;15;9;16;9;16;8;17;8;17;7;17;6;17;6;17;6;18;5;18;5;18;5;18;5;18;4;18;4;18;4;18;3;17;3;17;3;16;3;16;2;16;2;16;3;16;3;16;3;16;3;16;1;8;4;16;4;15;4;15;4;15;4;14;4;14;5;14;5;14;6;13;6;13;7;13;7;13;7;13;7;13;7;13;8;13;8;13;8;13;9;12;9;12;9;12;9;12;10;11;10;11;10;11;10;11;2;2;0;0;0;0;0;0;0;0;-1;0;2;-3;22;-22;23;-22;24;-24;22;-25;18;-26;19;-26;19;-27;19;-26;18;-26;17;-27;16;-28;15;-27;15;-27;15;-28;14;-29;13;-31;14;-31;13;-31;12;-30;12;-30;11;-31;11;-31;10;-31;11;-32;11;-32;10;-32;9;-33;7;-34;7;-36;7;-36;7;-36;6;-36;7;-36;7;-37;6;-38;6;-38;7;-39;7;-40;7;-41;7;-40;6;-40;7;-42;7;-43;8;-44;9;-44;10;-44;10;-44;11;-44;12;-44;14;-44;15;-44;16;-44;18;-44;18;-43;18;-43;20;-43;22;-42;5;-11;-1;-1;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;3;6;15;28;14;31;13;33;12;33;11;34;10;34;10;35;9;34;7;34;6;34;6;34;6;34;5;34;4;34;3;34;3;34;3;33;3;32;2;32;2;32;2;32;2;32;2;31;3;30;4;30;5;30;5;30;5;29;6;29;7;29;6;29;6;28;5;28;6;28;7;27;9;26;11;25;11;25;11;26;12;27;12;27;12;26;13;27;14;26;14;25;14;24;15;24;15;23;16;24;17;23;18;22;19;23;18;23;18;24;21;25;22;26;20;25;2;3,empty
3592654,-68,384,74;-96;4;0;0;0;0;0;0;0;4;0;16;1;16;2;16;3;16;4;16;4;16;4;16;5;15;5;15;5;15;5;15;5;15;6;15;6;14;6;14;6;14;7;14;6;14;6;14;7;13;7;13;6;13;6;12;6;13;6;13;6;13;6;6;3;12;5;12;5;13;5;13;5;13;5;13;4;13;4;13;3;13;3;13;2;13;2;13;2;13;3;13;3;14;2;14;2;14;1;14;1;14;1;14;1;14;1;14;1;14;0;15;0;14;0;14;-1;3;-1;0;0;0;0;0;0;0;0;-1;-1;0;-4;4;-29;4;-30;4;-31;4;-30;-1;-29;-1;-29;-1;-30;-1;-30;-2;-29;-2;-29;-3;-29;-4;-29;-4;-29;-4;-29;-5;-30;-6;-30;-6;-29;-6;-29;-6;-30;-6;-30;-6;-30;-7;-29;-8;-29;-8;-29;-8;-29;-8;-29;-9;-29;-10;-29;-11;-30;-11;-30;-8;-32;-12;-30;-11;-30;-11;-31;-13;-31;-13;-31;-11;-32;-11;-32;-12;-33;-12;-33;-12;-32;-12;-33;-12;-34;-12;-35;-11;-35;-10;-36;-9;-36;-9;-36;-9;-37;-8;-38;-7;-39;-5;-39;-4;-39;-3;-39;-3;-39;-2;-40;0;-40;0;-10;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;7;1;30;8;30;8;31;9;30;10;29;11;29;11;29;12;28;13;27;15;27;15;27;14;28;14;27;15;26;15;25;16;25;17;24;17;24;17;23;17;23;16;23;15;23;15;23;15;23;15;23;14;23;15;22;17;23;13;22;13;22;13;21;14;22;13;23;13;24;12;24;12;24;10;24;8;24;7;24;7;25;7;26;8;25;8;24;8;25;7;26;7;26;7;27;7;27;6;27;6;27;5;28;4;28;4;27;4;27;7;28;8;30;7;28;6;3;0,empty
3592755,-68,384,74;-96;4;0;0;0;0;0;0;0;3;0;15;2;15;1;16;1;16;3;16;5;16;5;15;6;15;6;15;6;15;6;15;7;15;7;15;7;14;7;14;6;14;7;14;7;13;8;13;8;13;8;13;8;13;7;13;7;12;7;13;7;13;7;6;3;13;6;13;6;13;6;13;5;13;5;13;5;13;5;13;5;13;4;13;3;13;4;13;5;13;4;13;4;14;4;15;4;15;4;14;3;14;2;14;2;14;2;14;2;14;2;14;2;14;2;15;1;3;0;0;0;0;0;0;0;0;0;-1;-1;1;-4;10;-29;8;-30;8;-31;8;-30;3;-30;2;-31;2;-31;3;-31;2;-31;1;-32;1;-32;0;-31;0;-30;0;-30;-1;-31;-2;-32;-2;-32;-2;-32;-3;-31;-3;-31;-3;-31;-3;-31;-4;-31;-4;-32;-4;-32;-5;-32;-7;-32;-7;-32;-8;-33;-8;-33;-5;-34;-7;-34;-6;-35;-6;-35;-7;-35;-7;-36;-7;-37;-6;-36;-6;-37;-7;-38;-7;-38;-7;-38;-7;-39;-7;-41;-6;-42;-3;-42;-3;-42;-3;-42;-2;-43;-1;-44;0;-43;2;-43;4;-43;5;-42;6;-42;7;-41;8;-40;2;-10;0;0;0;0;0;0;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;7;1;30;7;32;7;30;9;29;11;28;13;27;14;27;15;28;15;27;16;26;16;27;16;26;16;26;17;25;17;24;17;23;18;23;18;22;18;22;18;22;18;22;18;22;18;22;16;22;16;22;16;23;16;21;17;22;15;22;15;22;15;22;15;22;14;22;14;22;13;22;13;22;12;22;11;23;11;24;11;25;12;24;11;24;11;25;10;25;9;24;7;25;8;25;8;26;8;26;8;26;8;26;7;28;6;28;6;28;10;29;10;30;10;29;10;3;1,empty
3592856,-67,384,74;-96;4;0;0;0;0;0;0;0;-5;-2;-16;-6;-16;-7;-16;-8;-16;-9;-16;-9;-15;-9;-15;-10;-14;-11;-15;-11;-15;-11;-15;-11;-14;-11;-14;-12;-14;-12;-13;-12;-13;-12;-12;-12;-12;-11;-12;-12;-12;-12;-12;-12;-11;-11;-12;-11;-12;-11;-12;-11;-12;-11;-6;-5;-12;-10;-12;-10;-12;-10;-12;-9;-12;-9;-12;-10;-12;-10;-13;-9;-13;-9;-14;-8;-14;-8;-14;-7;-14;-7;-14;-7;-14;-8;-15;-8;-15;-8;-15;-7;-15;-7;-15;-7;-15;-7;-15;-7;-16;-6;-16;-6;-16;-6;-16;-5;-4;-2;0;0;0;0;0;0;0;0;-1;-1;-3;3;-16;27;-14;28;-13;31;-14;31;-9;30;-9;31;-9;31;-9;31;-10;30;-10;30;-9;31;-8;31;-7;31;-6;31;-5;32;-4;33;-4;33;-5;33;-5;33;-4;33;-4;33;-4;33;-4;33;-4;33;-5;33;-4;35;-2;35;0;35;0;36;0;37;-3;37;-1;37;-2;37;-2;38;-2;38;-2;39;-2;39;-2;40;-3;40;-3;40;-2;40;-2;40;-3;41;-4;43;-6;44;-7;43;-8;44;-8;43;-10;43;-12;43;-13;43;-14;43;-15;42;-16;41;-17;42;-18;41;-19;40;-5;9;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-8;-4;-29;-16;-28;-18;-27;-19;-26;-20;-26;-21;-26;-22;-24;-23;-24;-23;-23;-24;-24;-23;-25;-23;-24;-23;-23;-23;-22;-24;-21;-24;-20;-25;-20;-25;-19;-24;-19;-24;-19;-24;-18;-24;-18;-24;-19;-23;-19;-23;-20;-23;-21;-22;-20;-23;-20;-21;-20;-21;-20;-21;-20;-21;-20;-21;-20;-21;-20;-20;-21;-20;-23;-19;-24;-18;-24;-17;-24;-17;-24;-17;-24;-17;-25;-17;-26;-17;-26;-17;-26;-16;-26;-15;-26;-16;-27;-16;-27;-15;-27;-14;-28;-13;-29;-13;-28;-13;-26;-15;-28;-16;-30;-17;-29;-18;-4;-3,empty
3592954,-69,384,74;-96;4;0;0;0;0;0;0;0;-4;0;-14;1;-15;1;-15;0;-15;-1;-15;-1;-15;-2;-15;-2;-15;-2;-15;-2;-15;-3;-15;-3;-15;-3;-14;-4;-14;-4;-14;-4;-14;-4;-14;-4;-14;-4;-14;-5;-13;-5;-13;-5;-13;-4;-13;-4;-13;-4;-13;-4;-13;-4;-7;-2;-13;-3;-13;-3;-13;-3;-13;-3;-13;-3;-13;-3;-13;-3;-13;-2;-13;-2;-14;-2;-14;-2;-13;-1;-13;-1;-13;-1;-14;-1;-14;-1;-13;0;-13;0;-14;0;-14;0;-14;0;-14;0;-14;1;-14;0;-14;0;-14;1;-4;0;0;0;0;0;0;0;0;0;-1;-1;0;3;2;26;3;26;4;28;4;27;6;26;6;26;6;27;6;27;6;26;6;25;7;25;7;26;7;26;8;25;9;25;9;25;10;25;10;25;10;26;10;26;10;26;10;25;11;26;11;26;11;26;12;26;13;25;15;26;15;26;15;27;16;27;15;27;14;28;14;29;14;29;14;30;14;31;14;31;15;31;15;32;14;33;14;32;15;32;16;32;14;34;12;35;11;34;11;35;10;36;9;37;8;37;7;37;6;37;6;37;5;37;3;38;2;39;0;9;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-7;0;-27;0;-28;-1;-28;-2;-28;-3;-28;-4;-28;-5;-27;-6;-27;-7;-28;-7;-28;-7;-28;-6;-28;-6;-27;-7;-27;-8;-26;-9;-26;-9;-26;-10;-25;-9;-25;-10;-24;-10;-24;-10;-24;-10;-24;-9;-24;-8;-25;-8;-24;-8;-23;-7;-23;-7;-23;-7;-23;-7;-23;-7;-23;-7;-23;-7;-23;-7;-24;-6;-25;-6;-26;-5;-26;-4;-25;-3;-25;-3;-25;-3;-26;-3;-26;-2;-25;-2;-25;-2;-27;-2;-27;-2;-27;-1;-26;-1;-26;0;-26;1;-27;1;-27;1;-26;0;-28;1;-29;1;-29;1;-4;0,empty
3593055,-68,384,74;-96;4;0;0;0;0;0;0;0;-1;4;-2;16;-3;16;-4;16;-4;16;-5;16;-6;16;-6;16;-6;15;-7;15;-7;15;-7;16;-8;16;-8;15;-8;15;-9;14;-9;14;-8;14;-8;14;-8;14;-8;14;-8;13;-8;13;-8;13;-8;14;-8;14;-8;14;-4;7;-7;13;-8;13;-8;14;-7;14;-7;14;-7;14;-7;14;-6;13;-6;14;-5;15;-5;15;-4;15;-4;15;-4;15;-4;15;-4;15;-4;15;-3;16;-3;16;-3;16;-3;15;-3;15;-3;16;-3;16;-2;16;-2;16;-1;4;0;0;0;0;0;0;0;0;-1;-1;3;0;32;3;34;1;34;-1;33;-1;31;-3;32;-3;32;-3;32;-3;32;-4;31;-4;30;-5;31;-5;31;-5;31;-6;31;-7;31;-8;32;-9;31;-9;32;-9;32;-9;32;-10;31;-10;31;-10;31;-11;31;-11;31;-12;32;-12;32;-14;32;-15;33;-16;31;-16;32;-15;34;-15;34;-16;33;-16;34;-15;34;-15;35;-16;36;-16;36;-16;37;-17;37;-17;38;-16;38;-16;39;-15;40;-14;41;-13;41;-12;41;-12;42;-10;43;-9;43;-8;44;-7;44;-7;44;-6;44;-4;43;-2;10;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-2;7;-7;29;-9;30;-10;30;-11;30;-12;30;-13;30;-14;29;-15;29;-15;29;-15;29;-15;29;-16;29;-17;29;-17;28;-18;27;-18;27;-18;26;-17;25;-17;25;-18;24;-17;24;-17;25;-17;25;-16;25;-16;25;-15;26;-13;26;-14;25;-15;25;-15;25;-14;25;-13;25;-13;26;-13;26;-13;26;-13;27;-11;28;-9;28;-9;28;-9;28;-10;28;-10;28;-9;28;-8;28;-8;28;-7;29;-6;29;-7;30;-7;30;-6;30;-5;30;-4;30;-5;30;-5;32;-4;33;-4;33;-4;31;-1;3,empty
