timestamp_ms,rssi,csi_len,csi_bytes,label
17993,-72,384,"74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-96;4;0;0;0;0;0;0;0;1;-5;4;-18;5;-19;6;-19;6;-117993,-72,384,74;-968;-18;8;-17;7;-18;8;-19;8;-19;8;-18;8;-18;9;-18;10;-18;10;-17;9;-16;9;-17;11;-17;11;-16;10;-17;9;-16;10;-16;10;-16;9;-17;5;-8;10;-16;10;-16;9;-16;8;-16;8;-16;9;-16;8;-16;7;-16;7;-15;6;-15;6;-16;6;-17;6;-17;7;-16;6;-16;6;-17;5;-17;5;-17;5;-18;5;-18;5;-18;5;-17;5;-17;5;-18;5;-18;5;-18;1;-5;0;0;0;0;0;0;0;0;-1;-1;-4;-3;-27;-21;-30;-21;-30;-21;-27;-20;-28;-14;-28;-13;-28;-12;-28;-12;-28;-11;-28;-10;-28;-9;-29;-10;-28;-10;-28;-8;-27;-6;-27;-6;-28;-6;-28;-6;-27;-6;-26;-7;-25;-7;-25;-5;-25;-3;-25;-3;-24;-3;-24;-2;-25;-2;-26;-2;-26;-1;-25;0;-26;-3;-26;-1;-25;-2;-24;0;-23;1;-25;0;-27;-1;-27;-1;-26;0;-25;1;-24;2;-26;2;-27;2;-27;1;-27;1;-28;0;-28;-1;-28;-2;-28;-2;-27;-2;-26;-2;-26;-2;-26;-3;-26;-3;-28;-5;-27;-6;-25;-6;-7;-2;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;0;-1;-1;-1;-1;-1;3;-9;13;-34;15;-33;16;-32;17;-31;18;-30;19;-30;19;-31;21;-30;22;-30;21;-31;20;-30;20;-29;21;-29;22;-29;23;-28;24;-27;24;-26;24;-26;25;-27;25;-26;25;-25;25;-25;24;-26;22;-26;20;-27;21;-28;25;-25;21;-26;21;-25;22;-26;21;-27;21;-27;20;-27;19;-26;20;-26;19;-26;18;-27;17;-29;15;-29;15;-30;15;-30;15;-29;16;-29;17;-31;17;-31;15;-30;13;-30;14;-31;13;-30;12;-29;12;-30;14;-30;14;-30;18;-27;20;-29;20;-30;20;-30;2;-4",motion
18093,-72,384,74;-96;4;0;0;0;0;0;0;0;-5;2;-19;8;-18;8;-19;9;-21;9;-20;7;-20;7;-20;7;-20;6;-20;4;-21;3;-22;3;-22;3;-23;3;-23;3;-23;3;-22;2;-21;1;-21;1;-21;0;-21;0;-20;1;-20;1;-20;1;-20;1;-20;1;-20;2;-10;0;-19;0;-19;0;-18;1;-18;1;-18;1;-18;1;-18;1;-17;2;-16;-21;-1;-21;-1;-22;-1;-23;-2;-22;-2;-22;-2;-22;-1;-6;0;0;0;0;0;0;0;0,motion
20093,-74,384,"74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-120093,-74,384,74;-96;4;0;0;0;0;0;0;0;2;-5;8;-18;8;-18;9;-19;9;-1;13;-18;13;-17;13;-16;13;-16;13;-16;13;-16;13;-16;13;-15;13;-14;13;-14;13;-14;14;-15;13;-16;7;-8;14;-15;14;-15;14;-15;13;-15;12;-15;13;-15;13;-14;12;-14;11;-16;11;-18;11;-17;11;-15;10;-15;10;-15;11;-15;12;-15;11;-15;11;-15;10;-15;9;-15;9;-15;9;-15;9;-15;8;-14;8;-15;7;-16;1;-4;0;0;0;0;0;0;0;0;-1;-1;-2;-4;-14;-28;-16;-27;-17;-27;-17;-26;-21;-18;-21;-18;-21;-17;-21;-16;-20;-15;-21;-15;-21;-15;-19;-14;-19;-14;-21;-13;-22;-12;-22;-11;-22;-10;-22;-10;-22;-9;-21;-10;-21;-10;-21;-9;-21;-8;-22;-8;-22;-8;-22;-7;-21;-6;-21;-5;-23;-5;-24;-5;-23;-8;-23;-3;-24;-5;-24;-5;-22;-3;-23;-3;-25;-4;-24;-4;-23;-3;-23;-4;-23;-4;-23;-3;-24;-3;-24;-4;-25;-4;-25;-5;-25;-5;-24;-5;-24;-5;-23;-5;-24;-5;-25;-5;-26;-5;-26;-5;-25;-6;-25;-7;-25;-8;-7;-3;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;6;-7;25;-27;24;-27;25;-26;27;-25;27;-24;28;-23;28;-22;29;-22;30;-22;31;-23;33;-24;33;-25;33;-24;34;-23;33;-21;34;-18;36;-16;35;-16;34;-17;34;-16;33;-15;33;-15;33;-16;32;-17;32;-18;32;-18;36;-7;31;-16;32;-16;32;-17;31;-16;30;-16;29;-16;30;-16;29;-15;26;-16;23;-18;25;-19;27;-19;27;-20;28;-20;27;-19;27;-18;27;-18;26;-19;24;-20;24;-21;25;-22;23;-21;22;-20;22;-20;23;-20;23;-19;28;-11;28;-15;28;-15;26;-14;3;-2",motion
20193,-75,384,74;-96;4;0;0;0;0;0;0;0;2;3;11;14;12;15;11;16;10;17;10;17;9;17;9;17;9;17;9;17;8;17;8;17;8;18;8;18;8;18;6;19;5;19;5;18;5;17;5;18;4;18;4;18;4;17;4;17;5;17;5;17;6;16;2;8;3;18;4;18;4;17;5;17;5;16;5;16;5;16;5;15;6;13;6;12;7;13;7;14;6;15;6;15;6;15;7;15;7;15;8;15;7;15;7;14;8;14;7;14;7;14;7;14;7;14;8;13;2;3;0;0;0;0;0;0;0;0;-1;-1;3;-1;29;-7;27;-7;27;-7;27;-6;24;-13;23;-14;23;-13;24;-12;24;-13;22;-14;20;-15;21;-15;21;-14;20;-14;19;-15;20;-17;18;-17;17;-16;17;-14;17;-14;17;-14;15;-13;14;-14;14;-14;15;-14;14;-15;13;-15;13;-17;14;-18;15;-18;16;-18;12;-17;12;-17;13;-17;13;-16;13;-16;12;-17;12;-18;13;-18;11;-18;10;-18;11;-19;11;-20;12;-20;13;-20;13;-19;13;-19;13;-19;15;-19;16;-19;15;-18;14;-18;14;-19;13;-19;13;-19;14;-19;17;-16;4;-4;0;0;0;0;0;0;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;3;7;14;30;13;31;11;32;10;33;8;34;7;34;7;34;8;36;7;37;7;37;8;36;8;35;7;35;5;36;3;36;1;36;0;36;1;34;1;34;1;35;0;34;0;32;1;33;2;34;2;34;2;34;-2;36;2;34;1;34;1;32;2;32;3;32;2;32;1;31;1;30;2;28;3;28;6;30;8;29;7;29;7;31;8;31;8;30;8;29;9;29;8;29;8;28;8;29;8;28;9;26;11;26;11;27;11;27;6;29;6;31;5;32;4;32;0;3,motion
20293,-75,384,74;-96;4;0;0;0;0;0;0;0;3;-3;16;-11;16;-11;16;-11;16;-11;15;-9;16;-9;16;-9;17;-8;16;-8;16;-8;16;-8;17;-8;17;-7;17;-7;17;-7;17;-7;17;-7;17;-6;16;-7;16;-7;16;-6;16;-6;16;-7;16;-7;16;-7;16;-6;7;-4;15;-7;16;-8;16;-8;15;-8;15;-8;15;-7;15;-7;14;-8;13;-10;13;-11;12;-10;13;-9;14;-10;14;-10;14;-10;14;-10;14;-10;13;-10;12;-11;13;-11;13;-11;13;-11;12;-11;12;-12;12;-11;12;-11;3;-3;0;0;0;0;0;0;0;0;-1;-1;-2;-4;-13;-27;-15;-29;-15;-30;-14;-28;-18;-23;-18;-24;-18;-24;-17;-22;-17;-21;-18;-21;-18;-20;-18;-18;-17;-17;-18;-17;-18;-17;-19;-16;-20;-16;-20;-16;-18;-16;-18;-16;-18;-16;-19;-15;-19;-13;-18;-13;-17;-12;-17;-11;-18;-10;-20;-9;-20;-9;-20;-9;-23;-11;-22;-9;-21;-10;-20;-11;-20;-9;-21;-8;-21;-8;-20;-8;-20;-7;-20;-7;-20;-7;-21;-7;-22;-6;-23;-5;-22;-6;-22;-7;-23;-9;-22;-8;-21;-8;-21;-8;-21;-9;-23;-10;-21;-10;-20;-8;-21;-8;-23;-8;-23;-9;-6;-3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;7;-4;30;-16;31;-15;31;-13;32;-10;31;-8;31;-10;32;-10;32;-9;32;-9;33;-10;35;-10;35;-11;35;-10;34;-8;33;-7;33;-6;34;-4;34;-4;34;-6;33;-6;31;-4;32;-5;32;-7;31;-7;31;-7;31;-8;34;-6;31;-8;31;-7;30;-7;28;-8;29;-9;29;-8;28;-8;27;-8;25;-9;24;-10;26;-11;28;-13;28;-14;28;-13;28;-13;28;-15;28;-16;27;-16;26;-16;26;-16;27;-16;26;-16;25;-15;26;-17;27;-17;26;-16;29;-13;31;-13;30;-14;28;-17;3;-3,motion
20393,-74,384,74;-96;4;0;0;0;0;0;0;0;4;1;18;6;17;7;18;7;19;8;19;10;19;10;18;9;18;9;18;9;17;10;17;11;17;11;17;11;17;11;17;11;17;12;16;12;16;12;16;11;15;12;14;12;14;12;14;11;14;11;15;11;14;11;7;5;14;11;15;11;16;11;15;10;13;10;13;10;13;10;13;9;12;7;12;7;13;8;14;8;14;8;14;7;15;7;16;8;15;7;15;6;15;6;15;6;14;6;15;6;15;6;15;5;14;4;14;4;3;1;0;0;0;0;0;0;0;0;-1;-1;2;-4;17;-25;15;-25;12;-26;11;-25;8;-25;8;-26;7;-26;8;-25;8;-24;7;-24;7;-23;7;-23;6;-22;5;-22;4;-23;3;-24;3;-24;3;-24;2;-23;2;-23;1;-22;-1;-20;-2;-21;-1;-21;-2;-20;-3;-19;-3;-19;-2;-20;-2;-20;-2;-20;-1;-20;-3;-21;-2;-22;-3;-21;-5;-19;-6;-18;-6;-18;-6;-19;-6;-19;-6;-19;-6;-19;-7;-20;-7;-21;-8;-22;-8;-22;-7;-21;-7;-22;-7;-23;-7;-23;-7;-23;-6;-23;-4;-23;-3;-23;-5;-23;-6;-25;-4;-25;-1;-23;0;-6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8;4;33;17;33;19;33;20;33;21;32;24;31;25;31;25;29;25;27;25;27;25;28;25;28;24;27;23;28;24;26;26;25;27;24;28;24;27;24;27;23;27;22;26;24;25;24;25;24;25;25;24;25;24;26;25;23;23;23;24;24;25;23;23;22;22;22;22;22;21;21;21;21;22;23;22;25;21;24;20;25;19;26;18;27;19;27;19;26;15;25;14;25;15;25;15;26;16;26;16;26;13;26;12;26;13;25;15;21;21;22;20;25;20;25;20;3;2,motion
20495,-76,384,74;-96;4;0;0;0;0;0;0;0;0;4;3;19;3;20;2;22;0;22;-1;21;-2;21;-2;21;-3;21;-3;21;-3;20;-2;21;-3;23;-4;22;-3;21;-3;21;-4;22;-3;22;-4;21;-5;21;-4;22;-4;21;-6;20;-5;20;-5;21;-5;22;-4;21;-2;10;-5;21;-5;20;-5;20;-4;21;-3;20;-4;19;-4;19;-3;19;-2;22;-1;24;-1;22;-2;19;-2;18;-1;19;-1;20;-1;20;0;20;1;20;0;20;-1;20;0;20;0;19;0;18;0;17;-1;19;0;19;0;4;0;0;0;0;0;0;0;0;-1;-1;3;0;28;3;28;1;30;0;32;1;29;-5;27;-6;26;-4;27;-3;26;-5;25;-6;25;-6;25;-6;23;-6;23;-5;23;-7;23;-9;22;-10;20;-10;20;-11;20;-12;19;-12;16;-11;17;-11;18;-10;18;-9;17;-10;17;-14;18;-17;16;-16;14;-15;13;-15;14;-15;15;-16;15;-17;12;-17;12;-17;14;-17;14;-16;12;-16;11;-17;11;-17;11;-18;11;-20;11;-20;13;-18;15;-17;16;-18;14;-19;12;-19;14;-18;17;-19;17;-20;15;-20;14;-20;16;-22;18;-23;18;-21;4;-6;-1;-1;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;8;1;36;0;37;-1;39;-1;39;-1;38;-5;39;-9;40;-10;39;-9;37;-7;37;-5;40;-7;42;-8;43;-9;43;-11;41;-12;41;-12;42;-12;40;-12;38;-12;39;-12;40;-12;40;-11;39;-10;39;-10;39;-9;39;-13;43;-16;40;-15;37;-13;37;-12;39;-11;38;-12;37;-13;37;-13;38;-9;37;-5;35;-5;36;-6;36;-7;37;-7;36;-7;35;-7;36;-5;36;-2;37;-4;37;-5;35;-6;35;-6;35;-4;34;-2;33;-3;34;-4;36;-5;38;-4;39;-5;39;-8;35;-2;4,motion
20595,-74,384,74;-96;4;0;0;0;0;0;0;0;-5;1;-19;4;-19;4;-20;4;-20;4;-19;3;-19;3;-19;2;-20;1;-20;0;-20;0;-20;0;-21;0;-21;0;-20;-1;-20;-1;-21;-1;-21;-1;-20;-1;-20;-2;-20;-3;-20;-3;-20;-3;-20;-4;-20;-4;-20;-3;-19;-2;-10;-1;-20;-2;-20;-2;-19;-2;-19;-2;-18;-2;-18;-3;-18;-2;-18;-2;-18;-1;-17;-1;-18;-1;-19;0;-20;0;-19;0;-18;0;-18;0;-18;0;-19;1;-19;1;-18;1;-17;0;-17;0;-18;1;-19;2;-18;3;-17;2;-4;0;0;0;0;0;0;0;0;0;-1;-1;-1;3;-3;31;-3;34;-4;35;-3;30;4;26;5;27;5;27;5;27;4;25;4;24;5;24;6;24;9;23;9;23;8;23;7;24;7;24;8;22;10;21;9;21;9;22;10;20;10;19;10;19;9;19;10;18;10;18;11;18;13;17;15;17;14;21;14;19;14;19;14;20;15;20;18;20;18;20;17;19;17;21;17;22;16;22;16;21;15;20;16;19;17;21;16;21;15;20;13;19;12;18;15;18;15;21;14;23;15;23;14;23;12;23;12;24;13;25;3;6;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-9;0;-35;1;-36;3;-36;3;-36;2;-36;0;-39;-1;-41;-3;-40;-7;-38;-8;-36;-6;-37;-4;-38;-4;-38;-4;-39;-5;-39;-7;-38;-10;-38;-11;-38;-11;-37;-11;-36;-10;-34;-10;-35;-10;-36;-9;-37;-8;-38;-8;-37;-8;-38;-7;-38;-9;-39;-9;-37;-8;-34;-7;-34;-8;-35;-11;-33;-11;-32;-11;-35;-10;-37;-7;-36;-5;-35;-5;-36;-4;-35;-2;-33;-3;-33;-4;-33;-3;-35;-2;-36;-2;-34;-2;-33;-2;-33;-2;-33;-3;-33;-2;-34;-1;-33;-1;-31;-6;-34;-5;-36;-6;-34;-6;-5;-1,motion
20693,-73,384,74;-96;4;0;0;0;0;0;0;0;-2;-6;-7;-23;-6;-22;-6;-22;-5;-23;-4;-23;-4;-24;-3;-24;-3;-23;-4;-23;-3;-22;-2;-23;-2;-23;-2;-23;-1;-24;-1;-24;-1;-24;0;-23;0;-22;1;-22;1;-22;1;-22;1;-21;2;-21;1;-22;1;-23;1;-22;0;-11;0;-22;0;-22;0;-22;-1;-22;-1;-22;-1;-21;-2;-21;-3;-20;-4;-21;-5;-23;-5;-23;-4;-20;-4;-20;-4;-21;-4;-22;-4;-23;-4;-22;-5;-21;-5;-20;-5;-20;-6;-19;-5;-20;-5;-20;-6;-20;-6;-19;-7;-20;-2;-5;0;0;0;0;0;0;0;0;-1;-1;-6;0;-40;0;-38;0;-37;1;-35;1;-33;6;-32;7;-32;7;-31;8;-30;8;-31;9;-32;9;-31;9;-31;9;-30;9;-29;10;-29;11;-28;11;-27;10;-26;10;-26;10;-25;12;-23;12;-24;12;-25;13;-25;13;-24;13;-24;13;-24;13;-23;13;-23;16;-24;17;-23;16;-24;14;-22;14;-21;16;-22;15;-23;15;-21;16;-20;16;-20;15;-20;14;-20;16;-20;17;-21;18;-21;18;-20;17;-21;17;-23;18;-24;18;-24;16;-24;13;-23;12;-23;14;-23;14;-24;14;-24;13;-24;11;-7;2;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-2;-11;-6;-43;-5;-43;-5;-43;-3;-45;-1;-45;1;-44;2;-44;2;-45;3;-44;5;-43;4;-44;1;-44;2;-44;6;-45;8;-46;8;-45;7;-43;7;-41;8;-40;9;-40;9;-41;10;-40;9;-40;7;-42;5;-42;4;-41;8;-40;7;-39;7;-40;5;-40;4;-39;5;-39;5;-39;4;-39;3;-39;0;-37;-2;-37;-1;-38;0;-39;0;-39;1;-39;0;-38;-1;-39;-3;-39;-4;-39;-3;-38;-3;-36;-3;-38;-2;-39;-3;-38;-5;-38;-5;-37;-5;-38;2;-39;2;-41;2;-42;1;-40;-1;-5,motion
20793,-73,384,74;-96;4;0;0;0;0;0;0;0;-1;4;-3;19;-4;19;-4;20;-5;20;-5;20;-5;20;-5;20;-6;20;-6;20;-7;19;-8;20;-8;21;-8;20;-9;20;-9;20;-9;20;-9;19;-9;18;-9;18;-8;18;-8;18;-9;17;-8;17;-9;17;-9;17;-8;17;-4;8;-7;18;-8;18;-8;17;-7;17;-6;17;-6;17;-6;17;-6;17;-5;18;-4;19;-4;17;-4;16;-4;16;-4;17;-4;17;-4;18;-3;17;-2;18;-2;18;-2;17;-1;16;-2;16;-2;16;-2;16;-2;16;-2;17;-1;4;0;0;0;0;0;0;0;0;-1;-1;3;1;31;15;30;14;30;11;29;8;27;1;26;1;26;1;27;1;27;0;25;1;24;1;25;-1;25;-1;23;-1;23;-3;24;-4;25;-3;24;-2;23;-1;23;-2;23;-3;22;-3;21;-3;21;-3;20;-4;20;-6;19;-7;19;-9;19;-9;18;-8;17;-3;17;-6;18;-8;18;-9;17;-9;17;-9;17;-9;16;-9;15;-9;15;-11;15;-11;15;-11;15;-11;16;-11;18;-11;18;-12;17;-13;17;-10;17;-9;16;-10;15;-11;15;-11;15;-11;15;-11;14;-12;15;-12;16;-12;4;-4;0;0;0;0;0;0;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-5;8;-16;34;-16;33;-18;31;-20;31;-20;31;-19;31;-20;30;-22;30;-24;30;-24;30;-24;31;-24;32;-25;33;-25;32;-25;30;-25;30;-25;29;-25;28;-24;29;-24;29;-26;27;-26;26;-24;26;-23;26;-23;26;-22;25;-27;23;-20;29;-21;30;-21;28;-20;27;-19;27;-19;28;-19;27;-18;27;-15;28;-12;28;-13;28;-15;28;-15;29;-14;30;-14;30;-14;30;-13;30;-12;30;-11;30;-10;30;-10;29;-11;27;-11;28;-10;30;-11;30;-12;30;-19;29;-18;32;-19;33;-20;30;-3;3,motion
