timestamp_ms,rssi,csi_len,csi_bytes,label
8196204,-67,384,74;-96;4;0;0;0;0;0;0;0;-4;-7;-13;-27;-13;-28;-12;-28;-11;-29;-11;-29;-9;-29;-8;-29;-8;-29;-8;-29;-8;-29;-8;-30;-8;-30;-7;-29;-6;-29;-6;-28;-6;-28;-6;-28;-6;-27;-5;-26;-5;-26;-4;-26;-4;-25;-5;-25;-5;-25;-6;-25;-6;-24;-3;-12;-6;-24;-6;-24;-5;-23;-6;-22;-6;-22;-6;-22;-7;-21;-8;-21;-9;-21;-10;-21;-10;-19;-10;-19;-10;-19;-9;-19;-10;-19;-11;-18;-10;-18;-10;-18;-10;-17;-11;-16;-10;-16;-10;-16;-10;-16;-10;-15;-10;-15;-11;-14;-3;-4;0;0;0;0;0;0;0;0;-1;-1;-3;1;-23;15;-22;15;-21;16;-19;15;-16;15;-15;14;-15;15;-14;14;-14;14;-12;14;-10;14;-9;14;-10;14;-9;14;-7;13;-7;14;-6;14;-5;14;-5;14;-4;14;-3;13;-2;13;-2;12;-1;13;-1;14;0;13;0;12;1;12;3;13;3;13;3;15;3;14;3;13;3;12;4;10;4;10;3;11;3;11;3;11;4;11;5;10;5;10;5;11;5;12;6;12;6;10;5;9;4;9;5;9;6;8;5;9;5;9;5;8;5;9;4;9;4;9;4;9;1;2;0;0;0;0;0;0;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-6;-14;-21;-54;-20;-55;-19;-55;-18;-55;-16;-54;-14;-54;-12;-55;-11;-55;-10;-56;-11;-55;-12;-55;-11;-55;-10;-54;-9;-55;-8;-55;-7;-54;-7;-53;-8;-51;-7;-49;-6;-49;-6;-49;-6;-49;-7;-48;-8;-48;-9;-47;-10;-45;-11;-44;-10;-44;-8;-44;-8;-44;-9;-42;-10;-41;-10;-41;-11;-40;-11;-41;-13;-41;-15;-40;-16;-38;-16;-37;-16;-36;-17;-36;-17;-36;-17;-35;-17;-34;-16;-33;-17;-33;-18;-32;-18;-32;-17;-32;-17;-31;-17;-29;-17;-29;-18;-29;-16;-29;-17;-28;-15;-28;-13;-27;-2;-4,motion
8196306,-68,384,74;-96;4;0;0;0;0;0;0;0;6;-5;27;-18;28;-17;30;-16;29;-15;28;-15;29;-14;30;-13;29;-13;29;-13;29;-13;30;-13;30;-13;30;-12;29;-11;29;-11;29;-10;29;-10;28;-10;27;-10;27;-9;27;-8;26;-9;25;-10;25;-10;25;-11;25;-11;12;-6;23;-10;22;-10;22;-11;22;-11;22;-10;22;-10;21;-10;20;-10;20;-11;19;-11;19;-12;19;-12;18;-12;18;-12;17;-12;17;-12;16;-13;16;-13;16;-13;15;-13;15;-13;15;-13;14;-13;13;-13;12;-12;12;-12;3;-3;0;0;0;0;0;0;0;0;-1;-1;-3;-3;-19;-19;-19;-19;-19;-18;-19;-17;-18;-15;-18;-14;-18;-13;-17;-12;-18;-11;-19;-10;-18;-10;-18;-9;-17;-8;-16;-7;-16;-6;-17;-6;-17;-5;-16;-5;-15;-4;-15;-4;-15;-4;-14;-3;-14;-2;-14;-2;-13;-2;-12;-2;-13;-1;-13;0;-13;0;-12;1;-12;1;-12;0;-13;0;-13;2;-12;2;-12;2;-12;3;-12;2;-12;2;-11;1;-12;2;-12;2;-12;2;-13;1;-13;1;-13;1;-12;1;-11;1;-11;0;-11;-1;-10;-1;-10;-2;-10;-3;-10;-3;-10;-4;-10;-4;-9;-3;-2;-1;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;13;-8;55;-29;56;-26;57;-24;57;-23;56;-22;57;-22;58;-21;58;-20;57;-18;56;-17;57;-19;58;-20;57;-19;57;-17;57;-16;56;-15;56;-13;54;-12;53;-13;52;-13;52;-12;50;-12;49;-14;48;-15;48;-14;47;-16;47;-16;44;-16;44;-16;43;-16;42;-16;43;-16;43;-17;41;-18;39;-18;38;-18;38;-19;37;-21;36;-21;35;-22;35;-22;34;-22;34;-21;32;-21;31;-22;31;-23;30;-22;31;-22;30;-22;27;-22;25;-22;26;-22;25;-21;25;-20;25;-22;25;-22;23;-22;2;-3,motion
8196397,-67,384,74;-96;4;0;0;0;0;0;0;0;-4;-6;-15;-23;-15;-23;-14;-24;-13;-24;-13;-24;-12;-24;-11;-24;-11;-24;-11;-24;-11;-24;-10;-25;-10;-25;-10;-25;-10;-25;-9;-24;-9;-24;-9;-24;-9;-24;-8;-24;-9;-23;-9;-23;-9;-22;-9;-22;-8;-22;-8;-22;-9;-21;-5;-10;-10;-20;-10;-20;-10;-20;-10;-20;-10;-20;-10;-20;-10;-19;-10;-19;-11;-18;-12;-18;-12;-17;-12;-16;-12;-16;-12;-16;-12;-16;-13;-16;-12;-16;-13;-15;-13;-14;-13;-14;-13;-14;-12;-14;-13;-14;-13;-13;-12;-13;-13;-13;-4;-4;0;0;0;0;0;0;0;0;-1;-1;-4;2;-24;17;-23;18;-22;18;-20;18;-17;18;-16;18;-16;18;-15;18;-14;18;-13;17;-12;17;-11;17;-10;17;-9;17;-8;17;-8;18;-7;18;-7;17;-7;16;-6;16;-6;16;-5;15;-4;15;-4;15;-3;15;-2;15;-1;15;0;15;0;15;0;16;1;17;1;14;1;14;1;14;1;13;1;12;0;12;1;12;2;13;3;13;4;13;2;13;1;12;2;12;2;12;2;13;2;13;3;13;3;12;3;11;3;11;2;11;1;11;1;10;1;10;1;10;1;11;0;2;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-7;-11;-26;-43;-25;-45;-25;-46;-23;-47;-21;-47;-19;-47;-18;-47;-18;-48;-17;-47;-18;-46;-19;-46;-20;-46;-19;-46;-18;-47;-15;-47;-14;-47;-13;-46;-13;-45;-13;-44;-13;-43;-13;-43;-13;-43;-14;-42;-15;-42;-15;-41;-17;-40;-19;-41;-17;-39;-15;-39;-15;-38;-16;-37;-16;-37;-16;-37;-16;-36;-17;-37;-18;-37;-20;-35;-21;-32;-21;-32;-22;-32;-21;-32;-21;-32;-21;-31;-20;-31;-21;-30;-22;-29;-22;-28;-22;-29;-22;-29;-22;-27;-23;-26;-23;-26;-22;-25;-18;-26;-19;-25;-20;-25;-20;-25;-3;-4,motion
8196497,-67,384,74;-96;4;0;0;0;0;0;0;0;-7;-3;-26;-11;-25;-11;-25;-12;-25;-13;-24;-13;-24;-13;-23;-14;-22;-15;-22;-15;-22;-15;-22;-15;-22;-15;-22;-15;-21;-15;-21;-15;-21;-15;-21;-15;-20;-15;-20;-15;-19;-15;-19;-14;-19;-14;-18;-14;-19;-14;-19;-13;-20;-13;-10;-6;-19;-12;-19;-12;-19;-12;-19;-12;-19;-11;-19;-11;-19;-11;-19;-10;-19;-8;-20;-7;-19;-7;-19;-8;-19;-7;-19;-7;-20;-7;-20;-7;-20;-7;-19;-7;-19;-6;-19;-5;-19;-6;-20;-5;-19;-5;-19;-5;-19;-5;-19;-5;-5;-2;0;0;0;0;0;0;0;0;-1;-1;-2;3;-14;28;-13;27;-12;26;-11;25;-7;26;-6;26;-6;25;-6;24;-6;23;-5;23;-4;22;-3;22;-2;22;-1;21;0;20;0;21;1;20;1;19;1;19;1;18;1;18;2;17;2;16;2;17;2;17;3;16;4;15;5;14;6;15;6;16;3;16;6;14;7;15;6;15;6;15;5;14;6;14;6;15;7;15;7;15;8;15;9;15;8;14;8;14;7;15;6;16;5;16;6;15;6;15;6;15;5;15;5;16;4;16;4;15;3;15;2;16;1;17;0;4;-1;-1;0;0;0;0;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-12;-7;-44;-26;-44;-28;-44;-29;-42;-29;-41;-29;-39;-30;-38;-31;-38;-32;-38;-33;-37;-32;-39;-32;-39;-32;-38;-33;-37;-33;-36;-33;-35;-34;-34;-34;-33;-33;-33;-32;-32;-31;-32;-32;-32;-31;-33;-30;-33;-29;-33;-29;-34;-28;-32;-29;-33;-27;-32;-27;-32;-27;-33;-26;-32;-25;-31;-25;-31;-24;-31;-24;-32;-22;-33;-18;-33;-18;-34;-19;-35;-18;-35;-18;-35;-19;-35;-18;-34;-17;-33;-16;-33;-16;-33;-16;-34;-16;-34;-15;-33;-14;-33;-13;-34;-13;-34;-13;-31;-18;-31;-18;-31;-19;-29;-18;-4;-3,motion
8196598,-64,384,74;-96;4;0;0;0;0;0;0;0;-6;-5;-23;-19;-22;-19;-22;-21;-21;-21;-21;-21;-20;-22;-20;-21;-19;-22;-19;-22;-18;-23;-18;-24;-18;-24;-17;-23;-17;-23;-16;-23;-16;-23;-16;-23;-15;-23;-15;-22;-15;-21;-15;-21;-15;-21;-15;-21;-14;-21;-15;-21;-15;-21;-8;-10;-16;-19;-15;-19;-15;-19;-15;-18;-15;-18;-15;-18;-15;-18;-16;-17;-16;-17;-17;-17;-17;-16;-17;-15;-17;-15;-17;-15;-17;-14;-17;-14;-17;-14;-17;-13;-18;-13;-18;-12;-18;-12;-17;-12;-17;-12;-17;-12;-17;-11;-17;-11;-5;-3;0;0;0;0;0;0;0;0;-1;-1;-3;3;-18;28;-16;29;-16;30;-14;28;-11;26;-10;26;-10;26;-10;26;-9;26;-8;25;-7;25;-6;24;-6;24;-4;23;-3;24;-3;24;-2;23;-1;23;-1;22;0;22;0;22;1;21;1;21;1;21;1;20;3;20;4;20;5;20;5;21;6;21;6;21;6;20;6;20;6;20;7;20;7;20;6;19;6;19;7;19;8;19;8;19;8;19;7;19;7;19;6;19;6;19;6;18;6;18;5;18;5;18;4;18;4;17;4;17;3;16;2;16;2;16;3;15;0;3;0;0;0;0;0;0;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-11;-9;-42;-35;-42;-36;-41;-38;-40;-39;-39;-40;-38;-40;-37;-41;-36;-42;-36;-43;-35;-43;-36;-43;-36;-43;-34;-43;-33;-43;-32;-43;-31;-43;-31;-43;-30;-42;-28;-41;-27;-41;-28;-40;-29;-40;-29;-39;-28;-39;-28;-38;-29;-38;-31;-35;-29;-36;-28;-36;-28;-35;-28;-34;-28;-34;-29;-34;-29;-33;-29;-33;-29;-32;-31;-31;-32;-29;-31;-28;-32;-27;-32;-28;-32;-27;-32;-26;-31;-25;-32;-24;-32;-24;-32;-23;-32;-23;-32;-23;-32;-23;-33;-21;-33;-20;-33;-20;-32;-20;-33;-21;-33;-22;-33;-22;-5;-3,motion
8196698,-65,384,74;-96;4;0;0;0;0;0;0;0;-6;2;-24;10;-25;10;-26;9;-26;9;-25;8;-25;8;-26;7;-25;7;-25;6;-26;6;-27;5;-27;5;-26;5;-26;5;-26;5;-26;4;-26;4;-25;4;-25;4;-25;4;-24;4;-24;4;-23;3;-23;3;-23;4;-23;5;-11;2;-22;5;-22;5;-22;5;-22;5;-21;5;-21;6;-20;6;-20;7;-19;7;-19;8;-19;8;-19;8;-19;8;-19;8;-19;8;-19;9;-19;9;-18;9;-17;10;-17;10;-17;9;-17;9;-16;9;-16;9;-16;9;-16;10;-4;2;0;0;0;0;0;0;0;0;-1;-1;1;3;11;26;12;25;12;25;13;25;15;21;15;20;15;20;15;18;15;17;16;16;16;16;15;15;15;14;15;13;16;12;16;11;17;11;17;10;16;9;15;9;15;8;15;8;15;7;14;6;14;6;14;6;15;5;15;4;16;4;16;4;16;5;15;3;15;3;15;2;14;2;14;2;14;2;13;1;13;1;13;1;13;1;13;1;14;0;13;1;13;1;13;1;12;1;11;1;11;1;11;2;11;2;10;1;10;1;10;1;10;1;10;1;10;1;2;0;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-13;4;-49;17;-49;15;-50;13;-50;12;-49;11;-49;10;-49;9;-49;8;-48;7;-49;7;-50;7;-51;8;-51;7;-50;6;-49;5;-49;4;-49;3;-48;4;-47;4;-46;4;-46;4;-46;4;-45;5;-45;6;-44;6;-44;7;-44;6;-43;7;-42;6;-41;6;-41;7;-41;7;-40;8;-39;8;-39;8;-38;8;-37;10;-37;12;-37;13;-38;13;-37;13;-37;13;-36;14;-36;14;-35;15;-34;14;-34;15;-34;15;-33;15;-32;15;-32;16;-33;16;-32;16;-33;13;-32;13;-32;13;-32;12;-5;1,motion
8196808,-68,384,74;-96;4;0;0;0;0;0;0;0;-8;-3;-31;-10;-31;-10;-31;-11;-31;-12;-30;-12;-29;-12;-27;-12;-27;-12;-27;-12;-27;-13;-27;-14;-28;-14;-27;-14;-26;-14;-25;-13;-25;-14;-25;-14;-23;-13;-23;-13;-23;-12;-23;-11;-22;-11;-21;-11;-21;-12;-22;-12;-21;-11;-11;-5;-21;-9;-21;-9;-21;-8;-21;-7;-20;-7;-20;-7;-20;-6;-20;-6;-19;-4;-19;-3;-19;-4;-19;-4;-18;-4;-18;-4;-19;-4;-19;-4;-18;-3;-17;-2;-17;-2;-17;-1;-16;-1;-16;-1;-16;0;-16;0;-15;-1;-15;-1;-4;0;0;0;0;0;0;0;0;0;-1;-1;-1;2;-6;16;-5;17;-3;17;-3;16;-1;14;-1;13;0;12;0;11;1;11;1;10;1;9;2;8;1;8;1;7;2;6;3;6;2;5;2;5;2;4;2;3;2;3;2;3;2;2;2;3;2;3;2;3;3;1;3;0;3;0;3;0;4;0;3;0;2;-1;2;-1;2;-1;2;-1;2;-1;2;-2;3;-2;2;-1;2;0;2;-1;1;-3;0;-3;0;-2;1;-2;2;-2;1;-1;2;-1;2;-2;2;-2;0;-1;0;-2;1;-3;2;-3;1;-2;0;-1;0;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-14;-6;-55;-23;-54;-25;-55;-27;-54;-28;-52;-28;-50;-28;-49;-29;-48;-30;-47;-30;-47;-30;-48;-31;-49;-31;-48;-31;-45;-30;-43;-30;-43;-29;-43;-29;-42;-28;-41;-28;-40;-27;-39;-26;-38;-27;-39;-25;-40;-24;-39;-24;-39;-22;-39;-21;-36;-20;-37;-21;-37;-20;-37;-19;-36;-19;-36;-17;-35;-15;-35;-15;-34;-14;-33;-11;-34;-10;-34;-11;-34;-11;-34;-11;-34;-10;-34;-10;-33;-9;-32;-8;-31;-8;-30;-7;-30;-6;-29;-6;-29;-4;-28;-3;-27;-3;-27;-4;-25;-6;-26;-4;-26;-5;-24;-6;-3;-1,motion
8196899,-65,384,74;-96;4;0;0;0;0;0;0;0;6;-4;25;-16;26;-15;27;-15;27;-13;27;-13;27;-13;27;-13;27;-12;28;-12;28;-11;28;-10;28;-10;28;-10;28;-10;28;-9;28;-9;27;-8;26;-8;26;-8;26;-8;26;-7;25;-8;25;-8;25;-8;25;-8;24;-8;12;-5;24;-9;24;-9;24;-9;22;-9;22;-9;22;-9;22;-10;22;-10;20;-10;19;-11;19;-11;19;-11;20;-11;20;-12;19;-12;19;-12;18;-11;18;-11;17;-12;16;-13;16;-13;16;-13;16;-13;15;-13;15;-13;15;-13;3;-4;0;0;0;0;0;0;0;0;-1;-1;-1;-5;-6;-32;-9;-30;-10;-29;-10;-28;-16;-23;-16;-22;-17;-21;-17;-19;-16;-18;-16;-17;-17;-17;-17;-15;-16;-14;-16;-13;-17;-12;-18;-11;-18;-10;-18;-9;-18;-9;-18;-9;-18;-9;-17;-8;-17;-6;-18;-5;-18;-4;-18;-3;-17;-3;-18;-1;-19;-1;-19;-1;-20;-6;-20;0;-20;0;-20;0;-19;2;-18;2;-19;2;-19;3;-19;3;-19;3;-19;4;-19;4;-20;5;-20;5;-20;5;-19;4;-20;4;-21;5;-21;5;-20;4;-19;5;-20;4;-20;4;-20;5;-21;5;-22;5;-21;4;-6;1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;13;-4;53;-14;54;-13;54;-12;55;-10;54;-9;54;-7;53;-6;53;-5;53;-5;53;-6;54;-6;55;-5;55;-5;54;-4;53;-2;53;0;52;0;50;0;49;1;49;1;50;0;49;-1;47;-2;47;-2;47;-2;47;-3;47;5;45;-4;44;-3;45;-3;43;-4;42;-5;43;-5;42;-6;42;-6;41;-7;39;-8;38;-10;39;-11;41;-12;41;-13;40;-11;39;-11;38;-12;37;-12;36;-12;36;-13;36;-14;35;-13;34;-14;33;-15;33;-15;33;-14;37;-6;35;-8;35;-9;33;-13;3;-3,motion
8196998,-66,384,74;-96;4;0;0;0;0;0;0;0;4;6;16;25;16;25;16;26;15;27;13;27;13;27;12;27;11;26;11;26;11;27;10;28;10;28;10;27;10;26;9;26;8;27;8;27;8;26;8;25;7;25;7;25;7;24;7;23;7;23;7;23;7;23;4;11;8;22;8;22;9;21;8;20;8;20;8;20;9;19;9;19;10;18;11;17;11;17;10;17;10;17;11;17;11;17;12;16;12;16;12;15;12;15;12;14;11;14;11;14;11;12;12;12;12;12;12;11;3;2;0;0;0;0;0;0;0;0;-1;-1;2;-4;16;-25;15;-25;14;-25;12;-23;12;-22;11;-22;11;-23;10;-23;9;-22;8;-22;6;-22;5;-21;5;-20;5;-21;4;-21;3;-21;3;-20;3;-20;2;-20;1;-20;0;-19;-1;-19;-2;-19;-1;-20;-2;-19;-2;-19;-3;-18;-4;-18;-4;-18;-5;-18;-8;-17;-7;-17;-6;-18;-7;-18;-7;-16;-6;-16;-7;-17;-7;-17;-7;-17;-7;-17;-7;-16;-7;-16;-7;-16;-7;-16;-8;-16;-8;-16;-8;-17;-7;-16;-7;-14;-7;-14;-6;-14;-6;-14;-6;-14;-7;-14;-6;-13;-6;-12;-6;-12;-2;-4;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;7;11;31;48;29;49;28;51;27;52;25;52;23;52;22;52;22;52;21;53;20;53;20;54;20;53;19;51;18;50;16;50;16;51;15;51;15;49;15;48;15;47;15;46;15;46;15;46;14;45;14;44;16;43;19;40;16;40;15;41;15;40;16;39;17;38;17;38;17;37;18;36;19;34;20;31;20;32;20;33;20;32;21;32;21;32;22;30;22;29;23;28;23;28;23;27;23;26;23;26;23;24;24;23;24;23;23;22;24;21;24;21;24;20;25;19;3;2,motion
8197106,-68,384,74;-96;4;0;0;0;0;0;0;0;-7;4;-27;18;-27;18;-28;18;-29;17;-28;15;-28;15;-28;15;-28;14;-28;14;-28;13;-29;13;-29;13;-28;12;-27;12;-27;11;-27;11;-26;11;-25;10;-25;10;-25;10;-25;10;-24;10;-24;9;-24;9;-24;10;-23;11;-11;5;-21;11;-21;11;-20;11;-19;11;-19;10;-19;10;-18;10;-18;11;-17;10;-17;10;-16;11;-16;11;-16;10;-16;10;-15;10;-14;10;-14;10;-14;10;-14;11;-13;10;-12;9;-12;8;-11;9;-12;9;-11;8;-11;8;-3;2;0;0;0;0;0;0;0;0;-1;-1;0;2;4;16;5;16;5;15;5;13;8;10;7;10;6;10;5;10;5;8;4;7;4;7;3;7;3;7;4;6;5;5;4;4;2;4;1;3;2;3;2;3;1;3;2;3;2;3;2;2;2;3;2;4;1;3;1;1;1;1;1;2;1;3;0;4;0;3;0;4;-1;4;-2;4;-2;4;-2;4;-2;4;-1;3;2;4;2;6;3;5;3;4;1;6;0;7;-1;6;0;5;1;6;-2;8;-4;11;-3;13;-1;13;-1;11;-1;10;-3;10;-4;11;-2;2;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-14;6;-55;27;-55;25;-56;23;-57;21;-56;20;-55;19;-56;18;-57;18;-56;17;-54;17;-55;17;-55;19;-55;19;-54;16;-53;13;-52;12;-52;13;-50;12;-49;11;-49;11;-48;11;-46;11;-45;13;-44;14;-43;13;-43;15;-43;16;-42;15;-42;14;-39;14;-38;14;-39;14;-38;13;-36;14;-36;13;-35;13;-33;14;-32;17;-32;18;-32;18;-31;17;-30;16;-30;15;-28;15;-27;15;-26;16;-25;16;-25;16;-24;15;-22;15;-21;15;-21;14;-20;13;-22;10;-23;12;-23;13;-20;12;-3;1,motion
