timestamp_ms,rssi,csi_len,csi_bytes,label
3323299,-51,384,"74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-20;-3;-20;-2;-23323299,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-3;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;-19;2;-18;0;-2;-20;-1;-20;0;-19;0;-19;0;-19;1;-19;1;-19;2;-19;2;2;-16;2;-16;2;-16;2;-16;1;-8;1;-16;1;-15;1;-15;1;-15;1;-15;0;-15;0;-15;0;-15;0;-15;-1;-15;-1;-15;-1;-15;-2;-15;-2;-15;-2;-15;-2;-15;-3;-15;-3;-15;-3;-15;-3;-15;-3;-15;-4;-15;-4;-15;-4;-15;-4;-15;-4;-15;-1;-4;0;0;0;0;0;0;0;0;0;0;-8;2;-28;8;-28;9;-27;9;-27;9;-27;10;-26;10;-26;10;-26;10;-25;10;-25;11;-26;11;-25;11;-25;11;-24;12;-23;13;-23;14;-23;15;-23;15;-23;14;-23;13;-23;13;-22;14;-21;15;-21;15;-21;15;-21;16;-20;17;-19;17;-19;18;-19;18;-20;17;-20;17;-21;18;-21;18;-20;18;-20;19;-21;19;-21;19;-21;19;-21;19;-20;19;-20;20;-20;21;-21;21;-23;20;-23;19;-24;18;-24;18;-24;17;-25;16;-25;16;-26;15;-26;16;-25;16;-25;16;-26;14;-26;13;-7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-10;-5;-37;-4;-37;-2;-37;0;-37;0;-37;1;-36;2;-35;3;-35;4;-35;3;-35;3;-34;3;-35;4;-36;5;-35;6;-34;6;-33;7;-33;7;-32;6;-31;6;-31;6;-31;6;-31;5;-30;4;-30;3;-30;3;-30;3;-29;3;-29;4;-29;3;-28;2;-28;2;-29;2;-28;1;-28;1;-29;0;-29;-1;-28;-3;-28;-4;-28;-3;-29;-3;-29;-3;-29;-3;-29;-4;-28;-4;-27;-4;-28;-5;-28;-5;-28;-6;-28;-7;-28;-8;-28;-8;-28;-7;-28;-7;-28;-9;-29;-9;-29;-9;-28;-2;-7",occupied
3323399,-52,384,74;-96;4;0;0;0;0;0;0;0;3;3;14;13;13;14;13;14;12;15;12;15;11;15;11;15;10;15;10;15;10;15;9;15;9;15;9;15;9;15;9;15;8;15;8;15;8;14;8;14;8;14;7;14;7;14;7;13;7;13;8;13;8;13;4;6;8;12;8;13;8;12;8;12;8;11;8;11;9;11;9;11;9;11;10;10;10;10;10;10;10;10;10;10;10;10;10;9;11;9;11;9;11;9;11;9;11;9;11;8;12;8;12;8;12;8;12;8;3;2;0;0;0;0;0;0;0;0;0;0;8;-12;33;-48;33;-50;32;-51;29;-49;25;-49;24;-49;26;-50;25;-50;23;-49;22;-49;22;-49;22;-49;22;-49;20;-49;19;-49;18;-51;18;-52;16;-51;15;-50;15;-51;14;-51;12;-51;11;-51;12;-50;13;-50;12;-51;9;-51;6;-52;4;-52;3;-51;4;-51;5;-51;6;-52;6;-53;5;-54;7;-55;8;-55;7;-56;6;-57;5;-55;4;-55;5;-57;5;-59;6;-59;7;-59;7;-60;7;-59;7;-58;7;-58;9;-57;10;-56;12;-56;16;-57;17;-58;15;-57;15;-56;17;-55;4;-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;52;52;50;53;48;56;47;59;45;59;42;58;40;59;38;60;37;62;37;61;38;59;37;60;35;61;33;61;31;61;30;60;30;59;29;58;28;59;26;58;25;57;26;56;27;54;27;53;28;53;30;50;30;49;29;49;30;49;31;48;31;48;30;48;30;47;30;47;31;47;33;44;36;41;36;41;37;43;38;42;39;41;39;40;40;39;40;39;42;38;41;37;41;37;42;37;43;38;43;37;44;36;45;34;44;33;46;33;48;33;49;34;48;34;12;8,occupied
3323499,-52,384,74;-96;4;0;0;0;0;0;0;0;-3;-5;-8;-19;-8;-19;-8;-19;-7;-19;-6;-19;-6;-19;-5;-19;-5;-19;-4;-19;-4;-19;-4;-19;-4;-19;-4;-18;-4;-18;-3;-18;-3;-18;-3;-18;-2;-17;-3;-17;-3;-17;-3;-17;-3;-16;-3;-16;-3;-16;-3;-16;-3;-16;-2;-8;-4;-16;-4;-15;-4;-15;-4;-15;-4;-15;-5;-15;-5;-15;-5;-14;-5;-14;-6;-14;-6;-13;-7;-13;-7;-14;-7;-14;-7;-13;-7;-13;-7;-13;-8;-13;-8;-13;-8;-13;-8;-13;-9;-13;-9;-12;-9;-12;-9;-12;-10;-13;-3;-4;0;0;0;0;0;0;0;0;0;0;-7;2;-27;10;-27;11;-27;12;-26;11;-25;12;-25;13;-26;12;-25;12;-24;13;-23;13;-23;13;-23;13;-23;13;-22;13;-21;14;-21;15;-22;16;-22;17;-21;16;-21;15;-21;15;-19;16;-19;17;-20;17;-20;17;-20;17;-18;18;-16;19;-16;20;-16;19;-17;20;-18;20;-19;19;-18;20;-18;20;-18;21;-18;21;-18;21;-18;21;-18;21;-17;20;-17;22;-19;23;-20;23;-21;22;-21;22;-21;21;-20;20;-20;20;-21;19;-21;18;-22;18;-23;19;-23;19;-23;18;-23;18;-24;17;-6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-10;-8;-38;-6;-37;-4;-37;-2;-37;-1;-37;-1;-36;0;-36;1;-36;2;-35;1;-34;0;-34;1;-35;2;-36;2;-36;3;-35;5;-34;5;-33;4;-32;4;-32;5;-31;5;-31;4;-31;3;-31;2;-30;2;-30;1;-30;1;-30;1;-29;2;-29;1;-29;1;-29;1;-29;1;-28;0;-29;0;-29;-1;-28;-3;-27;-4;-27;-5;-28;-5;-29;-5;-29;-5;-28;-5;-28;-6;-28;-7;-28;-7;-28;-7;-27;-8;-27;-8;-28;-8;-28;-9;-27;-10;-28;-9;-28;-9;-27;-9;-28;-10;-29;-11;-28;-3;-7,occupied
3323599,-52,384,74;-96;4;0;0;0;0;0;0;0;4;3;16;14;16;14;16;15;15;15;14;16;14;16;13;17;12;17;12;16;12;16;12;16;12;16;11;16;11;16;10;16;10;16;10;16;9;16;9;16;9;16;8;15;8;15;8;15;9;14;9;14;9;14;4;7;9;14;9;14;9;13;9;13;9;13;9;13;9;13;9;12;10;12;10;12;11;11;11;11;11;11;11;11;11;11;11;11;12;11;12;11;12;11;12;11;12;11;12;10;12;10;13;10;13;10;13;10;3;2;0;0;0;0;0;0;0;0;0;0;5;-6;20;-24;20;-25;20;-26;20;-26;18;-26;17;-26;18;-26;18;-26;17;-26;16;-25;16;-25;16;-26;16;-26;15;-26;14;-26;14;-27;14;-28;13;-28;12;-27;12;-26;12;-27;11;-27;10;-27;11;-27;12;-26;12;-27;9;-27;8;-28;7;-29;6;-28;7;-28;8;-28;8;-29;8;-29;8;-30;9;-30;9;-30;9;-31;9;-31;9;-30;8;-30;8;-31;9;-32;9;-32;10;-32;11;-31;11;-32;11;-31;11;-30;12;-30;13;-30;15;-30;16;-30;17;-30;15;-29;15;-29;16;-29;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;29;29;28;30;26;31;24;33;24;33;22;33;21;33;20;34;19;34;19;33;20;33;19;34;18;35;18;35;16;34;15;34;14;34;14;32;13;32;12;33;12;32;13;31;14;31;14;30;15;30;16;29;15;28;15;28;14;28;14;27;14;27;14;27;14;27;15;27;15;27;16;26;17;25;18;25;19;25;19;25;19;25;20;24;20;24;20;23;21;23;20;23;20;23;21;22;22;22;22;22;23;22;24;22;23;21;23;20;23;21;24;22;24;21;6;5,occupied
3323699,-51,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-2;-20;-2;-20;-2;-20;-1;-20;0;-20;0;-20;1;-19;1;-19;1;-19;1;-18;2;-19;2;-19;2;-18;2;-18;2;-18;2;-17;2;-17;3;-17;3;-16;2;-16;2;-16;2;-16;2;-15;2;-16;2;-16;1;-16;0;-8;1;-15;1;-15;0;-15;0;-15;0;-15;0;-15;-1;-15;-1;-15;-1;-15;-2;-15;-2;-15;-2;-14;-3;-15;-3;-15;-3;-15;-3;-15;-4;-15;-4;-15;-4;-14;-5;-14;-5;-14;-5;-14;-5;-14;-5;-14;-5;-14;-5;-15;-2;-4;0;0;0;0;0;0;0;0;0;0;-7;1;-28;6;-27;7;-28;7;-27;7;-26;8;-26;8;-26;9;-26;9;-25;10;-25;9;-25;9;-25;9;-25;9;-24;10;-24;11;-23;12;-24;13;-23;13;-22;12;-22;12;-22;12;-21;13;-21;14;-21;14;-21;14;-21;14;-20;15;-19;16;-19;16;-18;16;-19;17;-20;17;-21;17;-20;17;-20;18;-20;18;-20;19;-20;19;-20;19;-20;19;-20;18;-20;18;-21;19;-22;20;-22;19;-22;19;-22;19;-23;18;-23;17;-24;16;-25;16;-25;16;-26;16;-25;16;-25;15;-25;15;-25;14;-7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-10;-1;-37;1;-37;3;-37;4;-37;5;-37;6;-35;7;-34;7;-34;8;-35;8;-34;7;-33;8;-34;9;-34;9;-34;9;-32;9;-31;9;-31;9;-30;9;-30;10;-29;10;-29;10;-29;9;-29;8;-29;7;-29;6;-29;6;-28;6;-27;6;-27;6;-27;5;-28;6;-28;6;-28;5;-28;4;-28;3;-28;1;-27;0;-28;0;-28;0;-29;-1;-28;-1;-28;-1;-28;-2;-27;-2;-27;-2;-27;-2;-28;-3;-28;-3;-28;-4;-28;-5;-28;-5;-28;-5;-28;-5;-28;-6;-29;-7;-29;-7;-29;-2;-7,occupied
3323799,-51,384,74;-96;4;0;0;0;0;0;0;0;2;3;10;15;10;16;9;16;8;16;8;16;7;16;6;17;6;17;6;17;6;16;6;16;6;16;6;16;5;16;5;16;4;16;4;16;4;15;4;15;3;15;3;15;3;15;4;14;4;14;4;14;5;14;2;7;4;14;4;14;4;14;4;13;4;13;5;13;5;13;5;13;5;13;6;12;6;12;7;12;7;12;7;12;7;12;7;12;7;12;7;12;7;12;7;12;7;12;8;12;8;11;9;11;9;11;9;11;2;2;0;0;0;0;0;0;0;0;0;0;6;-3;25;-11;25;-12;25;-13;24;-13;24;-13;23;-14;24;-14;24;-14;22;-14;22;-14;22;-14;22;-14;22;-15;21;-15;20;-16;20;-17;21;-18;20;-19;20;-18;19;-17;19;-17;18;-18;18;-18;18;-18;19;-18;18;-18;16;-19;15;-21;14;-21;14;-21;15;-21;16;-21;17;-20;17;-21;16;-21;17;-22;17;-22;17;-22;17;-22;17;-22;16;-22;16;-23;17;-25;18;-25;19;-24;19;-23;19;-23;18;-22;19;-20;20;-20;20;-20;21;-19;22;-19;22;-20;21;-20;21;-19;22;-18;5;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;7;34;6;35;4;35;2;35;1;35;0;34;-1;34;-1;34;-2;34;-2;33;-1;32;-2;33;-3;35;-3;34;-4;33;-4;32;-4;32;-4;31;-4;30;-5;30;-5;30;-5;30;-3;29;-3;28;-2;28;-1;28;-1;28;-2;28;-2;27;-1;27;-1;27;-1;27;-1;27;-1;27;0;27;1;27;3;26;4;26;4;27;4;28;5;27;5;27;5;26;6;26;6;26;6;27;6;26;7;26;7;26;8;26;9;26;9;27;9;27;9;26;10;26;11;27;11;26;2;6,occupied
3323899,-51,384,74;-96;4;0;0;0;0;0;0;0;-5;-3;-18;-9;-17;-10;-17;-10;-17;-11;-17;-11;-16;-11;-15;-11;-15;-12;-14;-12;-14;-12;-14;-12;-14;-12;-14;-12;-14;-12;-13;-13;-13;-12;-13;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-11;-12;-11;-12;-11;-12;-11;-12;-11;-6;-5;-12;-10;-12;-10;-12;-10;-12;-10;-12;-9;-12;-9;-12;-9;-13;-8;-13;-8;-13;-8;-13;-7;-13;-7;-13;-7;-13;-7;-13;-7;-13;-7;-14;-7;-14;-6;-14;-6;-14;-6;-14;-6;-14;-5;-14;-5;-14;-5;-14;-5;-14;-5;-4;-2;0;0;0;0;0;0;0;0;0;0;-5;5;-16;23;-15;24;-15;24;-14;24;-12;24;-11;24;-12;24;-12;24;-11;23;-11;23;-11;23;-11;23;-11;23;-9;23;-7;24;-6;25;-7;25;-7;25;-7;24;-7;24;-6;24;-5;24;-5;24;-7;24;-8;24;-7;24;-4;24;-2;24;-1;25;0;25;-1;25;-2;25;-4;25;-3;26;-3;26;-4;26;-5;27;-5;27;-4;27;-3;26;-1;26;-1;27;-2;27;-2;28;-3;29;-4;29;-5;29;-5;28;-5;28;-6;27;-7;27;-8;27;-9;27;-9;27;-8;28;-7;28;-8;28;-3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8;-6;-30;-23;-29;-24;-27;-25;-26;-26;-25;-26;-24;-27;-23;-29;-21;-29;-21;-29;-22;-28;-23;-26;-23;-26;-22;-27;-21;-28;-19;-28;-17;-29;-17;-28;-17;-27;-16;-27;-14;-28;-14;-27;-15;-27;-16;-25;-18;-24;-19;-24;-20;-23;-19;-23;-18;-23;-17;-23;-17;-23;-17;-23;-17;-23;-17;-23;-17;-23;-17;-23;-18;-21;-20;-19;-21;-18;-21;-18;-22;-19;-22;-19;-21;-19;-22;-18;-22;-18;-23;-17;-22;-18;-22;-18;-22;-18;-22;-18;-23;-17;-24;-15;-25;-15;-24;-16;-23;-15;-24;-16;-25;-16;-24;-16;-6;-4,occupied
3323999,-51,384,74;-96;4;0;0;0;0;0;0;0;2;1;8;4;8;5;8;5;8;5;8;5;8;5;7;6;7;6;7;6;7;6;7;6;7;6;7;6;7;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;5;5;5;5;5;5;6;5;6;5;3;2;5;5;6;5;6;5;5;4;5;4;5;4;5;4;5;4;6;4;6;3;6;3;6;3;6;3;6;3;6;3;6;3;6;3;6;2;6;3;7;2;7;2;7;2;7;2;7;2;7;2;7;2;1;0;0;0;0;0;0;0;0;0;0;0;4;-6;17;-23;16;-24;16;-25;16;-25;14;-25;14;-25;14;-25;15;-24;14;-23;14;-24;12;-25;12;-26;12;-26;11;-25;10;-25;9;-26;10;-26;10;-27;9;-26;10;-25;9;-26;7;-26;7;-26;8;-26;8;-26;7;-27;6;-26;4;-26;3;-26;2;-27;2;-27;2;-27;3;-27;3;-27;3;-28;5;-29;4;-29;4;-30;4;-30;3;-29;2;-29;3;-29;4;-30;4;-30;5;-31;5;-32;5;-32;4;-31;5;-31;6;-31;6;-32;6;-31;8;-31;9;-31;8;-31;9;-30;11;-30;3;-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;26;30;25;30;22;31;21;32;20;33;19;33;19;33;18;33;17;33;17;32;18;32;17;33;15;33;14;33;13;32;12;33;13;32;14;30;12;30;10;31;10;30;11;29;12;27;12;26;13;27;15;28;14;28;13;27;13;26;13;26;13;26;14;26;14;26;14;25;14;25;15;24;16;22;17;22;17;22;17;22;17;23;17;23;18;21;19;21;19;21;19;21;19;21;20;20;20;20;20;20;22;19;23;18;23;18;22;18;22;18;23;19;22;19;5;4,occupied
3324099,-51,384,74;-96;4;0;0;0;0;0;0;0;5;-1;21;-1;22;0;22;0;21;1;21;1;21;2;20;3;20;3;20;3;19;4;19;4;20;5;19;5;19;5;19;5;18;5;18;4;17;4;17;5;17;4;17;4;16;4;16;4;16;4;16;4;16;3;8;1;16;3;16;2;16;2;16;2;16;1;16;1;16;1;15;0;15;0;16;-1;15;-1;15;-1;16;-1;16;-2;15;-2;16;-3;16;-3;15;-3;15;-3;15;-3;15;-4;15;-4;15;-4;15;-4;15;-4;15;-4;4;-1;0;0;0;0;0;0;0;0;0;0;-1;-8;-3;-31;-4;-31;-4;-31;-5;-31;-7;-31;-8;-31;-7;-30;-7;-29;-7;-28;-7;-29;-8;-29;-8;-29;-8;-29;-9;-28;-11;-27;-12;-27;-12;-27;-12;-27;-12;-27;-11;-27;-13;-26;-14;-25;-13;-25;-12;-25;-12;-26;-13;-26;-14;-24;-16;-23;-17;-23;-18;-23;-19;-24;-18;-24;-17;-24;-18;-24;-18;-24;-17;-24;-17;-24;-17;-25;-18;-25;-19;-25;-20;-24;-20;-23;-20;-24;-20;-25;-20;-27;-20;-28;-19;-28;-19;-27;-19;-28;-18;-29;-17;-29;-17;-30;-16;-30;-15;-29;-16;-29;-17;-31;-15;-32;-4;-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;42;7;41;8;40;10;39;11;38;12;38;14;37;16;37;17;36;17;36;15;36;14;36;14;36;15;35;15;34;16;32;17;32;18;32;16;30;16;28;16;28;16;28;16;28;14;28;13;29;13;30;12;31;12;30;12;29;12;29;11;28;10;28;11;27;11;27;10;28;10;29;8;29;5;28;4;29;4;30;4;30;4;30;4;30;3;30;2;30;2;30;3;30;2;30;2;31;2;30;1;31;-1;32;-2;32;-2;30;-2;31;-2;32;-2;31;-2;7;-1,occupied
3324199,-52,384,74;-96;4;0;0;0;0;0;0;0;-5;-1;-19;-2;-19;-2;-19;-3;-19;-3;-19;-4;-19;-4;-18;-5;-18;-5;-18;-5;-17;-6;-17;-6;-17;-6;-17;-6;-17;-6;-17;-7;-16;-7;-16;-6;-16;-6;-16;-6;-15;-7;-15;-6;-15;-6;-15;-6;-15;-6;-15;-5;-15;-5;-8;-3;-15;-5;-15;-4;-15;-4;-14;-4;-15;-4;-15;-4;-15;-4;-14;-3;-14;-3;-14;-2;-14;-2;-15;-2;-15;-1;-15;-1;-15;-1;-15;-1;-15;0;-15;0;-15;0;-15;0;-15;0;-15;0;-15;1;-15;1;-15;1;-15;1;-4;0;0;0;0;0;0;0;0;0;0;0;-1;6;-2;27;-1;27;0;27;0;27;1;28;2;27;2;27;2;26;2;25;3;26;3;26;3;26;4;26;5;25;6;25;7;25;7;26;7;26;6;25;5;24;6;24;7;24;7;24;6;24;6;24;6;24;8;23;10;22;12;22;13;22;13;23;11;23;11;24;11;24;10;24;10;24;9;25;9;25;9;25;11;25;13;24;13;24;13;24;13;25;11;26;10;27;10;27;11;26;11;26;10;28;9;29;8;29;6;29;6;28;7;28;8;29;7;29;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;-2;-37;-9;-36;-10;-35;-11;-34;-12;-33;-12;-33;-13;-33;-15;-33;-16;-32;-16;-32;-15;-32;-14;-32;-13;-31;-14;-31;-15;-29;-16;-28;-17;-28;-17;-28;-16;-26;-16;-24;-17;-24;-17;-25;-16;-26;-15;-25;-13;-26;-12;-28;-11;-28;-12;-26;-12;-26;-12;-26;-12;-25;-12;-25;-12;-25;-12;-25;-11;-25;-11;-26;-10;-27;-8;-26;-6;-26;-6;-27;-6;-27;-6;-27;-7;-28;-6;-28;-5;-27;-5;-28;-6;-28;-5;-28;-4;-28;-4;-27;-4;-28;-2;-29;-1;-29;-1;-28;-1;-29;-1;-29;-1;-29;-2;-8;-1,occupied
3324299,-51,384,74;-96;4;0;0;0;0;0;0;0;3;-4;14;-14;14;-13;15;-13;15;-12;15;-12;15;-11;15;-10;16;-10;16;-10;15;-9;15;-9;15;-9;15;-9;15;-9;15;-8;15;-8;15;-7;15;-7;14;-7;14;-7;14;-7;14;-7;13;-7;13;-7;13;-8;13;-8;6;-4;13;-8;13;-8;12;-8;12;-8;12;-8;12;-8;12;-9;11;-9;11;-9;10;-9;10;-10;10;-10;10;-10;10;-10;10;-10;10;-10;10;-11;10;-11;10;-11;10;-11;9;-11;9;-12;9;-12;9;-12;9;-12;9;-12;2;-3;0;0;0;0;0;0;0;0;0;0;-5;-6;-19;-22;-19;-21;-20;-21;-19;-21;-20;-20;-21;-20;-21;-19;-21;-19;-20;-17;-20;-17;-21;-18;-21;-18;-21;-18;-21;-16;-22;-15;-22;-15;-22;-14;-23;-14;-22;-14;-22;-14;-22;-14;-23;-13;-22;-12;-22;-12;-22;-12;-22;-12;-23;-11;-23;-9;-24;-10;-25;-10;-25;-10;-25;-10;-25;-10;-25;-10;-24;-9;-24;-10;-24;-10;-25;-10;-25;-10;-26;-10;-26;-10;-26;-8;-26;-7;-27;-8;-28;-10;-28;-11;-28;-12;-28;-13;-28;-14;-27;-14;-27;-14;-26;-15;-26;-14;-25;-13;-25;-14;-26;-16;-26;-17;-7;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;-5;33;-17;33;-17;33;-16;33;-15;33;-14;34;-12;34;-10;34;-9;35;-9;34;-9;33;-9;33;-10;33;-10;33;-10;33;-8;32;-6;32;-5;31;-6;30;-7;29;-6;29;-5;29;-6;29;-7;28;-7;28;-8;28;-8;28;-8;27;-8;27;-8;26;-8;25;-8;25;-8;25;-9;25;-9;26;-9;25;-10;24;-12;23;-14;23;-14;23;-14;24;-14;24;-14;24;-14;23;-14;23;-14;24;-15;24;-15;24;-16;23;-16;22;-16;21;-17;22;-18;22;-18;22;-18;22;-19;22;-19;22;-19;5;-5,occupied
