timestamp_ms,rssi,csi_len,csi_bytes,label
371006,-80,128,"74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-371006,-80,128,74;-96;4;0;0;0;0;0;0;0;-6;4;-18;18;-17;14;-18;6;-11;3;-8;4;-13;5;-10;2;-4;-1;-5;0;-10;3;-13;7;-12;4;-11;5;-11;10;-8;7;-7;0;-6;0;-6;4;-10;8;-10;9;-2;7;1;3;-2;2;-1;6;0;6;-4;-1;-2;1;3;5;4;3;2;11;-1;18;-6;19;-6;19;-1;20;2;20;0;22;0;16;2;11;0;19;-1;26;4;21;1;18;-3;21;-7;26;-9;24;-11;23;-9;24;-3;20;3;18;4;19;0;23;0;23;0;19;-1;4;0;0;0;0;0;0;0;0",occupied
371105,-82,384,74;-96;4;0;0;0;0;0;0;0;3;-2;13;-4;15;-3;15;-2;16;-2;15;-2;13;-2;13;-3;12;-2;12;0;12;-1;12;-1;13;0;11;0;9;-1;10;-1;11;-2;11;-1;10;-1;10;0;9;0;9;-1;10;-2;9;-2;9;-2;10;-3;9;-4;4;-2;11;-2;12;-3;12;-4;11;-4;12;-4;12;-5;12;-5;11;-4;11;-4;11;-6;11;-7;11;-7;12;-6;13;-6;14;-4;15;-4;14;-6;14;-6;14;-6;15;-5;17;-4;17;-4;16;-6;15;-6;16;-5;16;-6;4;-2;0;0;0;0;0;0;0;0;-1;-1;2;-4;19;-29;20;-27;24;-25;24;-26;9;-31;7;-30;9;-29;10;-29;8;-26;8;-25;9;-26;9;-25;9;-24;7;-25;5;-25;5;-25;5;-24;5;-24;8;-24;9;-24;8;-24;6;-22;6;-21;6;-20;5;-20;3;-22;1;-23;0;-23;-1;-23;-3;-23;2;-22;-4;-23;-2;-24;-2;-25;-3;-24;-4;-23;-4;-23;-6;-23;-7;-23;-4;-25;-5;-24;-8;-23;-9;-24;-6;-26;-5;-26;-5;-28;-4;-30;-5;-31;-6;-32;-4;-32;-2;-32;-1;-34;-2;-33;-3;-31;-2;-31;1;-36;2;-39;0;-10;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;1;26;6;26;7;23;9;21;10;20;8;20;7;21;8;20;9;19;10;17;10;18;10;20;11;20;11;18;10;17;11;17;11;18;10;18;9;17;8;15;7;15;7;15;6;14;5;16;5;18;3;18;4;20;14;19;8;20;7;21;4;20;2;18;2;18;4;19;5;20;4;21;3;21;1;21;-1;22;0;25;2;26;2;26;4;25;5;25;4;26;4;25;6;25;6;29;6;30;7;29;5;29;4;29;7;29;7;27;16;30;16;31;21;25;24;2;3,occupied
371205,-83,384,74;-96;4;0;0;0;0;0;0;0;-2;1;-8;6;-8;5;-9;6;-9;6;-8;5;-7;3;-8;3;-9;3;-8;3;-8;3;-9;2;-9;2;-7;3;-6;4;-7;3;-8;3;-7;3;-6;3;-6;3;-6;3;-5;4;-5;4;-4;4;-5;4;-5;5;-5;5;-2;2;-3;5;-6;6;-6;6;-6;6;-6;7;-6;7;-6;7;-6;7;-6;8;-5;9;-5;9;-5;9;-5;9;-6;10;-6;10;-5;10;-5;10;-5;11;-5;11;-6;10;-6;10;-7;11;-6;11;-5;11;-6;11;-6;10;-2;2;0;0;0;0;0;0;0;0;-1;-1;1;1;11;16;13;19;10;22;7;23;14;16;15;15;13;16;13;16;13;15;13;14;13;14;14;15;14;14;14;12;15;11;16;10;15;10;13;10;10;11;9;10;11;9;12;9;11;10;12;11;14;11;14;8;13;5;13;4;14;4;14;2;14;4;16;6;16;5;19;2;19;-1;17;-1;18;2;19;0;20;-2;21;0;21;0;22;-1;23;-2;22;-1;24;0;26;3;29;5;28;6;25;5;24;5;25;7;27;10;30;9;31;4;33;5;33;10;33;12;8;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-5;0;-18;3;-19;4;-20;5;-20;5;-19;3;-18;2;-17;1;-18;1;-18;1;-17;0;-17;-1;-17;0;-16;3;-15;4;-15;3;-14;2;-13;2;-10;2;-10;1;-13;2;-12;3;-11;4;-11;5;-12;5;-12;7;-11;8;-14;6;-12;8;-13;7;-12;7;-10;9;-12;10;-14;9;-14;8;-13;9;-13;12;-12;13;-12;13;-14;14;-14;14;-14;15;-14;15;-14;15;-13;16;-13;17;-15;16;-15;15;-15;15;-15;15;-15;15;-15;16;-16;15;-18;15;-20;14;-23;15;-26;15;-24;15;-3;1,occupied
371305,-79,128,74;-96;4;0;0;0;0;0;0;0;-6;-2;-23;-7;-23;-4;-20;-4;-20;-4;-20;-7;-17;-8;-18;-4;-20;-1;-22;-4;-24;-6;-23;-7;-20;-5;-15;-4;-14;-8;-14;-10;-15;-9;-15;-5;-16;-3;-16;-3;-17;-2;-18;-5;-15;-5;-14;2;-15;4;-17;-1;-19;-5;-9;0;-14;4;-13;1;-11;0;-11;2;-14;4;-15;5;-13;4;-13;5;-15;7;-17;6;-16;5;-11;4;-11;4;-17;8;-17;10;-16;10;-16;9;-18;10;-20;12;-17;10;-16;8;-16;11;-13;16;-12;15;-13;9;-14;5;-4;1;0;0;0;0;0;0;0;0,occupied
371402,-82,384,74;-96;4;0;0;0;0;0;0;0;-4;-1;-15;-3;-16;-3;-17;-2;-16;-2;-16;-3;-15;-5;-14;-6;-14;-6;-15;-6;-14;-6;-14;-5;-14;-5;-13;-5;-11;-5;-12;-5;-12;-5;-12;-5;-10;-5;-9;-5;-9;-4;-9;-3;-10;-3;-10;-4;-9;-4;-9;-3;-8;-2;-4;-1;-10;-1;-10;-2;-10;-1;-9;0;-10;0;-10;-1;-10;-1;-9;0;-10;1;-11;1;-12;0;-12;0;-11;1;-11;1;-11;1;-12;2;-13;4;-13;4;-13;3;-12;3;-12;3;-13;3;-13;3;-12;3;-12;4;-11;5;-3;1;0;0;0;0;0;0;0;0;-1;-1;-1;2;-1;24;-1;25;-2;26;0;25;3;24;4;23;4;21;4;22;4;23;4;23;4;21;4;21;4;21;4;21;6;20;8;21;9;21;7;20;7;21;7;22;7;19;8;17;8;17;8;18;10;19;12;18;13;17;13;18;13;20;16;19;17;25;15;22;15;20;16;18;17;18;16;22;16;25;15;25;17;23;21;24;24;25;24;25;23;23;22;23;23;26;23;29;22;30;25;31;27;33;24;35;22;36;22;38;21;39;21;38;20;41;19;44;18;46;4;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-8;-2;-31;-6;-33;-6;-33;-7;-30;-8;-25;-8;-24;-9;-25;-10;-26;-12;-26;-12;-27;-12;-27;-11;-24;-10;-22;-11;-22;-11;-21;-10;-19;-10;-18;-9;-17;-9;-19;-10;-19;-9;-18;-8;-16;-9;-16;-9;-18;-7;-19;-7;-18;-6;-19;-5;-18;-4;-19;-5;-19;-5;-16;-4;-16;-3;-18;-4;-18;-3;-19;-3;-20;-4;-20;-4;-21;-2;-23;0;-23;0;-21;0;-23;0;-24;2;-25;3;-25;3;-25;1;-24;1;-25;2;-26;2;-26;2;-26;3;-25;3;-25;4;-29;2;-32;0;-29;0;-26;0;-4;-1,occupied
371507,-82,384,74;-96;4;0;0;0;0;0;0;0;5;1;19;3;16;1;14;1;14;3;12;5;9;5;7;6;6;8;6;8;8;6;8;5;8;6;8;9;9;12;9;12;6;12;5;12;6;8;7;4;7;4;6;6;4;6;3;8;4;8;5;7;4;6;2;3;4;8;4;8;4;7;4;6;5;9;4;9;3;8;3;8;2;9;1;11;3;10;4;8;3;6;1;8;1;10;2;9;1;9;1;12;2;12;3;10;2;10;-1;11;-2;12;0;12;2;10;2;11;0;3;0;0;0;0;0;0;0;0;-1;-1;2;0;17;3;17;6;19;7;20;4;22;2;22;3;20;4;19;5;21;6;22;6;19;5;19;4;21;3;23;0;24;0;24;2;24;2;21;2;14;3;12;6;14;5;14;1;14;0;17;1;17;2;13;1;11;1;12;0;13;-1;12;-1;7;-3;17;-1;20;1;22;1;19;-1;15;-3;15;-2;16;-1;20;-2;25;-1;25;-1;25;-1;29;-1;32;0;32;2;28;5;27;7;30;7;33;4;32;8;30;12;30;13;33;13;34;13;28;19;25;23;28;23;7;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;5;2;22;10;19;13;21;16;22;15;15;15;13;17;12;18;7;19;4;17;5;15;8;16;13;19;13;19;7;19;6;20;8;21;11;23;11;23;7;20;5;18;6;16;6;16;6;18;5;17;5;16;10;17;16;19;9;15;5;14;3;13;4;15;8;18;8;18;4;16;3;16;5;16;5;17;6;19;6;18;3;17;0;20;4;21;6;20;4;19;2;18;5;21;8;22;7;22;4;21;4;21;5;22;5;21;2;22;-3;24;2;27;5;23;0;16;-1;1,occupied
371609,-84,384,74;-96;4;0;0;0;0;0;0;0;-4;-2;-14;-8;-15;-7;-15;-7;-13;-7;-11;-8;-10;-10;-11;-10;-11;-8;-10;-8;-9;-9;-8;-10;-9;-11;-9;-12;-8;-11;-8;-12;-8;-13;-7;-12;-7;-11;-8;-9;-7;-8;-6;-8;-6;-8;-7;-8;-7;-11;-6;-12;-6;-10;-4;-5;-8;-9;-8;-10;-8;-11;-7;-10;-6;-10;-7;-10;-9;-9;-9;-8;-8;-8;-8;-10;-9;-10;-9;-9;-8;-10;-8;-11;-8;-11;-9;-12;-10;-13;-11;-12;-10;-11;-9;-11;-9;-12;-9;-12;-9;-12;-11;-13;-11;-12;-11;-10;-3;-3;0;0;0;0;0;0;0;0;-1;0;-3;1;-24;8;-29;9;-31;13;-26;15;-27;14;-27;13;-28;11;-29;9;-26;8;-23;8;-23;9;-24;10;-25;11;-25;13;-24;15;-23;14;-22;12;-22;11;-22;12;-23;14;-23;14;-20;16;-18;15;-19;12;-20;12;-22;15;-22;16;-22;15;-21;16;-20;19;-16;24;-22;19;-23;20;-23;21;-21;20;-20;20;-21;24;-21;25;-23;24;-25;27;-25;28;-24;27;-25;28;-29;29;-33;28;-34;26;-36;26;-38;28;-40;25;-41;21;-42;21;-45;20;-45;19;-45;20;-49;20;-51;19;-52;14;-13;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-5;-6;-17;-20;-17;-19;-17;-20;-15;-21;-12;-22;-11;-24;-11;-24;-10;-22;-9;-20;-9;-19;-9;-19;-9;-21;-9;-23;-9;-22;-8;-23;-8;-24;-8;-23;-6;-20;-7;-18;-8;-18;-7;-18;-8;-17;-9;-17;-9;-21;-11;-22;-10;-20;-4;-18;-9;-17;-10;-17;-10;-19;-9;-18;-9;-19;-10;-19;-10;-19;-8;-19;-10;-20;-11;-23;-11;-23;-11;-20;-13;-20;-13;-23;-10;-23;-10;-23;-13;-23;-15;-23;-15;-23;-14;-23;-14;-23;-14;-23;-14;-24;-16;-23;-17;-22;-16;-24;-11;-27;-12;-31;-10;-34;-6;-34;-1;-5,occupied
371727,-85,384,74;-96;4;0;0;0;0;0;0;0;0;2;3;11;1;10;2;10;3;11;2;12;1;11;1;10;1;10;1;11;0;11;-1;9;-1;9;0;9;1;10;0;9;-2;8;-2;7;-3;6;-4;7;-5;8;-4;8;-1;6;1;5;0;5;-1;6;-1;5;0;2;0;4;1;5;2;7;1;7;1;5;1;5;0;6;-1;7;1;7;2;6;2;5;3;5;4;6;5;5;4;5;3;7;3;6;4;5;4;7;4;7;4;7;4;8;4;8;4;7;4;6;6;5;1;1;0;0;0;0;0;0;0;0;-1;-1;1;1;14;10;18;6;20;6;18;5;14;-2;14;-2;16;-4;19;-4;18;-5;15;-5;15;-4;16;-4;16;-4;16;-6;15;-9;15;-11;15;-12;16;-12;16;-10;16;-8;17;-8;15;-8;15;-8;16;-7;17;-7;17;-9;16;-11;14;-13;14;-17;15;-21;23;-17;18;-19;19;-18;18;-17;16;-18;17;-20;19;-23;19;-23;21;-20;23;-18;23;-20;23;-25;25;-28;27;-26;26;-23;26;-23;30;-24;35;-26;36;-27;34;-23;34;-19;37;-19;40;-19;42;-21;43;-22;47;-20;50;-17;12;-5;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;-1;0;-1;-2;1;-3;5;-7;18;-9;17;-9;15;-8;14;-7;13;-8;11;-7;11;-7;11;-8;12;-9;11;-10;11;-10;10;-8;10;-7;10;-8;10;-9;9;-9;8;-9;8;-9;10;-8;10;-7;10;-5;9;-5;7;-5;6;-6;6;-5;6;-10;7;-4;9;-3;11;-1;12;-2;12;-3;10;-5;8;-7;8;-7;9;-5;11;-4;11;-4;10;-4;10;-3;10;-2;9;-2;10;-2;11;-2;12;-1;11;-1;12;-1;13;0;14;0;15;1;13;0;13;0;13;1;14;-5;16;-5;16;-4;16;-3;17;-1;2,occupied
371802,-82,384,74;-96;4;0;0;0;0;0;0;0;4;-2;18;-6;19;-7;19;-8;18;-9;18;-7;18;-5;20;-5;20;-3;20;-2;20;-2;19;-2;17;-3;16;-3;15;-1;14;0;14;-1;13;-1;12;0;12;-1;13;-1;13;-1;12;-2;11;-3;12;-4;12;-3;11;-3;5;-2;10;-5;9;-5;8;-5;8;-5;9;-6;9;-7;9;-6;8;-6;7;-7;6;-8;6;-8;5;-7;5;-8;5;-9;4;-10;4;-10;4;-9;4;-9;5;-9;4;-9;4;-9;4;-10;3;-10;2;-10;1;-9;1;-9;0;-3;0;0;0;0;0;0;0;0;-1;-1;-3;-2;-18;-10;-18;-11;-18;-11;-18;-7;-18;0;-18;0;-19;-1;-18;0;-17;0;-16;0;-15;2;-15;2;-15;2;-15;2;-15;3;-14;7;-13;9;-11;6;-12;5;-13;6;-13;7;-13;8;-13;9;-12;10;-11;11;-9;11;-7;13;-6;15;-6;15;-6;16;-9;20;-5;18;-3;18;-3;21;-1;22;0;22;0;23;0;24;1;24;2;26;3;30;3;33;3;33;1;31;0;33;-1;37;-1;38;0;38;2;40;1;41;-2;42;-4;44;-4;44;-4;45;-4;48;-5;50;-7;51;-3;12;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;-2;40;-4;38;-2;36;-3;37;-3;37;-3;37;-1;37;2;37;6;36;7;35;4;35;0;34;-2;32;-3;30;-1;28;1;26;3;24;3;23;3;24;2;23;1;22;0;21;-1;20;-2;22;-2;23;-2;21;-1;20;-1;19;-5;19;-4;17;-4;17;-6;18;-7;17;-6;17;-5;16;-6;13;-9;12;-11;13;-12;13;-11;14;-12;14;-12;13;-12;11;-12;11;-13;11;-15;11;-15;10;-15;10;-15;10;-14;9;-17;8;-19;7;-18;8;-16;12;-11;12;-13;13;-16;14;-17;1;-3,occupied
371920,-79,128,74;-96;4;0;0;0;0;0;0;0;6;-2;27;-8;29;-8;30;-6;31;-6;32;-7;31;-6;29;-4;27;-4;27;-4;28;-4;28;-4;28;-5;27;-5;26;-4;25;-4;25;-4;25;-5;23;-5;21;-5;20;-5;19;-3;18;-4;16;-6;15;-7;17;-5;19;-3;8;-3;12;-8;11;-8;12;-6;12;-6;10;-7;8;-7;9;-8;10;-8;8;-7;7;-7;7;-8;7;-8;7;-7;8;-7;6;-8;4;-9;3;-9;4;-8;4;-8;3;-8;0;-7;-1;-6;0;-6;-1;-7;-2;-7;-2;-7;-1;-2;0;0;0;0;0;0;0;0,occupied
