timestamp_ms,rssi,csi_len,csi_bytes,label
2095699,-50,384,"74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;2095699,-50,384,74;-96;4;0;0;0;0;0;0;0;0;4;1;19;1;19;0;19;-1;19;-1;19;-2;19;-2;19;-3;18;-3;18;-3;18;-3;18;-3;18;-3;17;-4;17;-5;17;-5;17;-5;16;-5;16;-5;16;-5;15;-5;15;-5;15;-4;15;-4;15;-4;15;-4;15;-2;7;-4;15;-3;15;-3;15;-3;14;-3;14;-3;14;-3;14;-3;14;-2;14;-1;14;-1;15;-1;15;-1;15;-1;15;-1;15;0;15;0;15;0;15;0;15;0;15;0;15;0;15;1;14;1;15;1;15;1;15;0;3;0;0;0;0;0;0;0;0;0;0;7;0;29;0;29;-1;29;-1;29;-1;29;-2;29;-2;29;-2;29;-3;28;-4;28;-3;28;-3;28;-3;28;-4;27;-5;27;-6;28;-6;27;-7;28;-7;27;-7;27;-7;27;-7;27;-9;26;-9;25;-8;25;-8;25;-8;25;-10;24;-12;25;-12;27;-12;27;-12;27;-11;27;-11;27;-12;26;-12;27;-12;28;-12;28;-12;28;-13;29;-13;28;-14;27;-14;28;-14;29;-15;30;-14;31;-12;32;-11;32;-11;32;-10;33;-9;33;-8;34;-8;33;-7;31;-7;32;-6;34;-5;35;-5;8;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;9;-6;37;-7;37;-8;35;-9;35;-9;35;-11;35;-13;34;-14;33;-14;33;-14;32;-13;32;-13;33;-13;33;-14;33;-15;31;-16;30;-16;29;-15;29;-15;29;-15;28;-15;27;-15;27;-14;27;-13;27;-13;27;-13;27;-13;27;-12;27;-12;26;-12;26;-11;26;-11;26;-11;26;-11;26;-11;26;-10;26;-8;26;-7;27;-7;28;-6;29;-6;29;-6;28;-6;28;-5;29;-5;29;-5;29;-5;28;-5;29;-4;28;-4;28;-3;29;-3;30;-4;30;-3;29;-3;29;-2;30;-2;30;-1;7",empty
2095799,-49,384,74;-96;4;0;0;0;0;0;0;0;4;1;18;5;18;5;18;6;18;7;18;8;17;8;17;9;16;9;16;9;16;9;16;9;16;9;16;9;15;9;15;10;14;10;14;10;14;10;14;10;13;10;13;10;13;9;13;9;13;9;13;8;13;8;6;4;12;8;13;8;13;8;13;7;13;7;13;7;13;7;13;7;13;6;13;6;13;5;13;5;13;5;14;5;14;5;14;5;14;5;14;5;14;4;14;4;14;4;14;4;14;3;15;3;14;3;14;3;3;0;0;0;0;0;0;0;0;0;0;0;3;-7;13;-27;12;-28;11;-28;11;-28;10;-28;9;-28;10;-28;9;-28;8;-28;8;-27;9;-28;9;-27;8;-27;7;-27;5;-27;5;-28;4;-30;4;-30;4;-28;4;-28;4;-28;3;-28;2;-28;2;-28;3;-28;3;-28;0;-28;-2;-28;-3;-28;-2;-28;-2;-29;-1;-29;0;-30;-1;-30;-1;-30;-1;-31;0;-32;0;-31;-1;-32;0;-31;-1;-31;-2;-32;-3;-34;-3;-34;-1;-34;0;-34;1;-34;1;-33;2;-33;4;-33;5;-33;6;-33;6;-34;6;-34;5;-34;5;-33;6;-33;1;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;31;20;31;21;29;22;29;23;28;24;26;25;25;26;23;26;23;27;23;26;24;25;25;26;25;27;24;27;22;27;20;27;20;27;19;26;19;26;18;27;17;27;18;26;19;25;20;24;20;23;21;22;20;21;19;22;18;22;18;22;19;21;19;22;19;22;19;22;19;21;19;21;20;18;22;17;23;17;23;18;23;18;22;17;23;17;23;16;23;16;23;16;23;16;24;16;24;16;25;15;26;14;26;14;25;15;25;14;26;13;27;13;27;13;6;3,empty
2095900,-50,384,74;-96;4;0;0;0;0;0;0;0;-1;4;-5;18;-5;18;-6;18;-6;18;-7;17;-7;17;-8;17;-8;16;-8;16;-8;16;-9;16;-9;16;-9;15;-9;15;-9;15;-9;15;-9;15;-9;14;-9;14;-9;14;-9;13;-9;13;-9;13;-8;13;-8;14;-8;14;-4;6;-8;13;-7;13;-7;13;-7;13;-7;13;-7;13;-6;13;-6;13;-6;14;-5;14;-5;14;-5;14;-5;14;-4;14;-4;14;-4;14;-4;15;-4;15;-3;15;-3;15;-3;15;-3;15;-3;15;-3;15;-3;15;-3;15;-1;3;0;0;0;0;0;0;0;0;0;0;7;-1;29;-2;29;-3;30;-3;30;-3;29;-4;29;-4;29;-4;29;-5;28;-5;28;-5;29;-5;29;-5;29;-6;27;-7;27;-8;27;-8;27;-9;27;-9;27;-8;26;-8;27;-9;26;-11;25;-10;25;-9;26;-8;26;-9;25;-12;24;-14;25;-14;26;-15;27;-15;27;-14;27;-14;27;-14;26;-13;27;-12;27;-12;28;-12;28;-13;28;-14;28;-15;27;-16;27;-15;28;-16;30;-14;31;-13;32;-12;32;-13;33;-12;33;-10;33;-9;34;-8;33;-7;33;-7;33;-8;34;-8;34;-7;8;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;9;-3;37;-3;36;-5;35;-6;35;-6;34;-8;34;-11;34;-12;34;-12;34;-11;33;-9;34;-9;33;-9;33;-10;33;-11;32;-13;30;-14;30;-13;30;-12;29;-13;27;-13;27;-13;27;-12;27;-10;27;-10;28;-10;28;-11;28;-11;27;-10;27;-9;27;-9;26;-10;26;-10;26;-9;26;-9;27;-9;27;-6;28;-4;28;-3;28;-4;28;-4;29;-5;29;-4;29;-3;29;-3;29;-4;29;-4;30;-3;30;-3;29;-2;28;0;29;0;30;0;30;0;29;1;30;1;30;0;29;0;7,empty
2096000,-50,384,74;-96;4;0;0;0;0;0;0;0;-1;4;-1;19;-2;19;-3;19;-3;19;-4;19;-4;19;-5;18;-5;18;-5;18;-6;17;-6;18;-6;17;-6;17;-6;17;-7;17;-7;16;-7;16;-7;16;-7;15;-7;15;-7;15;-6;15;-6;14;-6;15;-6;15;-6;15;-3;7;-5;15;-5;15;-5;15;-5;14;-4;14;-4;14;-4;14;-4;14;-3;14;-3;14;-3;14;-3;15;-2;15;-2;15;-2;15;-2;15;-1;15;-1;15;-1;15;-1;15;-1;15;0;15;0;15;0;15;0;15;0;15;0;3;0;0;0;0;0;0;0;0;0;0;6;2;27;8;28;6;29;6;29;6;29;5;29;4;28;4;28;4;27;3;28;3;28;3;28;3;28;2;27;1;27;0;28;-1;28;-1;28;-2;28;-1;27;-1;27;-1;27;-3;26;-4;26;-3;26;-3;26;-3;25;-5;25;-6;27;-7;28;-7;28;-7;28;-7;28;-6;28;-7;28;-7;27;-7;28;-6;28;-7;29;-7;30;-7;30;-9;30;-10;30;-10;31;-10;32;-9;33;-6;33;-5;33;-6;34;-6;34;-5;34;-4;35;-3;33;-2;31;-2;33;-2;35;-1;36;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;8;-18;33;-19;33;-20;32;-20;31;-20;30;-22;29;-23;29;-24;28;-24;27;-23;27;-23;27;-23;28;-22;28;-23;28;-24;26;-25;24;-25;23;-24;23;-23;23;-22;22;-22;22;-21;22;-20;22;-20;22;-20;23;-20;23;-20;23;-20;22;-19;22;-19;22;-18;21;-18;21;-18;22;-18;22;-18;23;-18;23;-16;23;-15;24;-14;25;-14;26;-14;26;-14;25;-14;26;-13;26;-13;27;-13;26;-13;26;-12;27;-11;27;-10;26;-10;27;-11;29;-11;29;-10;27;-9;28;-9;29;-9;28;-3;6,empty
2096100,-50,384,74;-96;4;0;0;0;0;0;0;0;-5;-1;-20;-1;-20;-2;-20;-2;-20;-3;-20;-3;-20;-4;-19;-4;-19;-4;-19;-5;-18;-5;-18;-6;-18;-6;-18;-6;-18;-6;-18;-6;-18;-6;-17;-6;-17;-6;-17;-6;-17;-6;-16;-5;-16;-5;-16;-6;-16;-6;-16;-5;-16;-5;-8;-3;-16;-4;-16;-4;-16;-4;-16;-4;-16;-3;-16;-3;-16;-3;-16;-2;-16;-2;-16;-2;-16;-2;-16;-1;-16;-1;-16;-1;-16;0;-16;0;-16;0;-16;1;-16;1;-16;1;-16;1;-16;2;-16;2;-16;2;-16;1;-16;2;-4;0;0;0;0;0;0;0;0;0;0;0;-1;7;-2;30;0;30;0;30;0;30;1;29;2;29;1;30;1;30;2;28;3;27;2;28;3;28;3;28;4;27;5;26;6;27;8;28;9;29;8;27;6;26;7;26;9;26;9;26;8;27;7;27;8;27;10;25;12;23;13;23;14;24;14;25;13;26;12;27;12;27;13;26;13;27;13;28;13;28;13;28;13;28;14;26;16;26;16;28;16;30;15;30;13;31;13;31;13;29;12;29;11;31;9;31;8;32;8;33;9;33;11;32;10;32;9;33;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;-2;-36;-9;-36;-10;-35;-12;-35;-14;-35;-14;-34;-14;-33;-16;-32;-16;-32;-17;-31;-16;-32;-14;-33;-15;-34;-16;-34;-17;-32;-18;-29;-19;-28;-19;-29;-17;-28;-17;-27;-19;-26;-19;-27;-19;-27;-16;-27;-14;-27;-14;-28;-13;-28;-13;-28;-14;-27;-14;-26;-13;-26;-13;-26;-13;-27;-14;-27;-14;-27;-14;-28;-12;-28;-9;-28;-7;-29;-8;-30;-8;-30;-8;-29;-8;-29;-7;-29;-6;-29;-6;-29;-7;-30;-7;-30;-7;-30;-6;-30;-5;-30;-3;-31;-3;-31;-3;-30;-4;-31;-3;-32;-3;-32;-3;-8;-1,empty
2096200,-50,384,74;-96;4;0;0;0;0;0;0;0;-5;-2;-19;-5;-19;-6;-19;-7;-19;-7;-19;-8;-18;-8;-17;-9;-17;-9;-16;-9;-16;-9;-17;-9;-17;-9;-17;-9;-16;-9;-16;-10;-16;-10;-15;-10;-15;-10;-15;-10;-14;-10;-14;-10;-14;-10;-14;-9;-14;-8;-15;-8;-15;-8;-7;-5;-14;-9;-14;-8;-14;-8;-14;-8;-14;-8;-14;-8;-14;-8;-14;-7;-14;-7;-14;-6;-15;-5;-15;-5;-15;-5;-15;-5;-15;-5;-15;-5;-15;-5;-15;-5;-15;-5;-15;-5;-15;-5;-16;-4;-16;-3;-16;-3;-16;-3;-16;-3;-4;-1;0;0;0;0;0;0;0;0;0;0;-3;7;-9;29;-8;29;-7;30;-7;29;-6;28;-5;28;-6;29;-5;29;-4;28;-4;28;-3;28;-3;28;-3;28;-3;28;-2;28;-2;28;-2;29;-1;29;-1;28;0;27;0;28;1;27;2;27;2;27;2;27;2;27;4;27;4;28;5;27;5;27;5;27;5;28;4;29;5;29;5;29;5;30;6;30;6;30;7;31;6;30;6;29;6;31;6;32;6;33;5;33;4;33;4;33;3;32;3;32;3;32;2;32;1;33;0;33;-1;34;-1;33;-2;33;-4;33;-1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9;-4;-33;-16;-33;-16;-32;-18;-32;-19;-32;-19;-31;-20;-30;-19;-29;-20;-28;-21;-28;-21;-28;-21;-28;-22;-28;-23;-27;-23;-27;-23;-26;-23;-25;-23;-24;-22;-25;-22;-24;-22;-23;-22;-24;-21;-24;-20;-24;-20;-24;-20;-24;-19;-24;-18;-24;-18;-23;-18;-23;-18;-24;-18;-24;-18;-24;-18;-25;-17;-25;-17;-25;-16;-25;-14;-26;-14;-27;-14;-27;-14;-27;-13;-27;-13;-27;-13;-28;-12;-28;-11;-28;-11;-28;-11;-28;-11;-28;-11;-28;-10;-29;-10;-29;-10;-29;-10;-28;-10;-29;-10;-30;-9;-30;-8;-8;-2,empty
2096300,-50,384,74;-96;4;0;0;0;0;0;0;0;2;3;10;15;9;16;9;16;8;17;8;17;7;17;6;17;6;17;6;17;5;17;5;17;5;17;5;17;4;16;4;17;4;17;4;16;3;16;3;16;3;15;3;15;3;15;3;15;3;15;4;15;4;15;2;7;3;14;4;14;4;14;4;14;4;14;4;14;4;14;4;13;5;13;5;13;6;13;6;13;6;13;6;13;6;13;7;13;7;13;7;13;7;13;7;13;7;13;7;13;8;12;8;12;8;12;8;12;2;3;0;0;0;0;0;0;0;0;0;0;5;-6;19;-22;18;-24;17;-24;17;-24;17;-24;16;-24;16;-24;15;-25;15;-24;15;-24;15;-24;15;-25;15;-25;14;-25;13;-25;12;-26;12;-27;11;-26;12;-26;11;-26;11;-27;11;-27;10;-26;9;-26;9;-26;8;-26;8;-26;7;-27;7;-28;7;-28;8;-28;8;-28;8;-29;7;-29;6;-28;7;-29;7;-30;7;-30;7;-30;8;-31;8;-31;8;-33;6;-33;6;-33;8;-33;10;-32;11;-32;12;-32;13;-32;14;-32;15;-32;16;-32;15;-31;15;-31;16;-31;18;-30;19;-29;4;-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;24;27;24;27;23;27;23;28;21;29;19;30;17;30;17;30;17;30;17;30;17;30;18;30;17;30;16;30;15;30;13;30;13;30;13;29;13;28;13;28;13;28;13;27;13;27;13;27;13;27;13;26;13;25;13;25;13;25;14;25;14;24;14;24;14;24;14;23;15;24;15;24;16;23;17;22;18;22;18;22;18;22;19;22;19;22;19;22;18;21;18;21;19;21;20;21;20;20;20;20;21;19;21;20;21;20;22;19;23;19;23;19;22;19;5;4,empty
2096400,-50,384,74;-96;4;0;0;0;0;0;0;0;0;-5;2;-20;2;-20;3;-20;4;-20;4;-19;5;-19;6;-18;6;-18;7;-18;7;-18;6;-18;6;-18;6;-17;7;-17;7;-17;7;-17;7;-16;7;-16;7;-16;7;-15;7;-15;7;-15;7;-15;6;-15;6;-15;6;-15;3;-8;6;-15;5;-15;5;-15;5;-15;5;-15;5;-15;5;-15;4;-15;4;-15;3;-15;3;-15;2;-15;2;-15;2;-15;2;-15;2;-15;1;-16;1;-16;1;-16;1;-16;1;-16;1;-16;0;-16;0;-16;0;-16;0;-16;0;-4;0;0;0;0;0;0;0;0;0;0;-8;-1;-31;-1;-30;0;-31;1;-30;0;-30;1;-30;2;-30;2;-30;2;-29;3;-29;3;-29;3;-29;3;-29;3;-28;4;-28;5;-28;6;-28;7;-28;7;-28;7;-28;6;-28;6;-28;7;-27;8;-27;8;-27;7;-27;8;-26;10;-25;11;-26;12;-28;11;-28;11;-28;10;-28;10;-28;11;-27;11;-28;11;-28;11;-28;12;-29;12;-29;11;-30;13;-29;14;-29;14;-30;13;-31;12;-32;10;-33;10;-34;11;-35;10;-36;8;-35;7;-35;5;-34;5;-33;6;-34;6;-35;5;-35;4;-9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-10;5;-38;5;-37;6;-37;7;-37;8;-36;9;-35;11;-35;12;-35;13;-35;13;-34;12;-34;11;-34;10;-35;11;-35;13;-33;15;-31;15;-30;14;-30;14;-30;14;-29;13;-28;13;-28;12;-28;11;-29;12;-29;12;-28;11;-28;11;-28;11;-28;10;-27;9;-27;9;-27;9;-27;9;-27;9;-27;9;-28;7;-28;5;-29;4;-29;4;-29;4;-29;5;-29;5;-29;4;-29;4;-30;5;-30;4;-29;4;-30;4;-29;3;-29;1;-29;1;-30;1;-30;1;-30;1;-31;1;-31;0;-30;0;-8,empty
2096500,-50,384,74;-96;4;0;0;0;0;0;0;0;3;3;12;15;12;15;11;15;11;16;10;16;9;16;9;16;9;16;8;16;8;16;8;16;8;16;8;16;7;16;7;16;6;16;6;16;5;16;5;15;5;15;5;15;5;15;5;14;5;14;6;14;6;15;3;7;6;14;6;14;6;14;6;13;6;13;7;13;6;13;6;13;7;12;7;12;8;12;8;12;8;12;9;12;8;12;8;12;9;12;9;12;9;12;9;11;9;11;9;11;9;11;10;11;10;11;10;11;2;2;0;0;0;0;0;0;0;0;0;0;7;-1;29;-3;30;-4;30;-5;30;-5;29;-6;28;-6;28;-6;28;-6;27;-7;27;-7;27;-6;28;-6;28;-7;27;-8;26;-9;26;-11;26;-12;26;-11;26;-11;26;-10;26;-10;25;-11;25;-12;24;-12;25;-11;24;-12;23;-14;23;-16;23;-16;24;-16;24;-15;25;-15;26;-15;25;-15;24;-16;24;-16;25;-16;26;-16;27;-17;27;-16;27;-17;26;-18;27;-19;28;-19;29;-18;29;-16;30;-15;31;-15;31;-13;32;-13;32;-12;33;-11;32;-11;31;-12;32;-12;33;-10;34;-9;8;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;9;-2;37;-3;37;-4;37;-6;36;-7;35;-8;34;-10;33;-11;34;-11;34;-11;34;-10;34;-9;35;-9;36;-11;35;-12;33;-13;31;-13;31;-12;30;-12;29;-12;29;-12;29;-12;29;-11;29;-10;29;-9;29;-8;29;-8;28;-9;28;-9;28;-9;28;-8;28;-8;28;-8;27;-8;27;-8;27;-7;28;-5;28;-4;28;-3;28;-3;29;-3;30;-4;29;-3;29;-3;29;-2;29;-3;28;-2;29;-2;29;-2;29;0;29;1;29;0;29;0;29;1;29;2;30;2;30;2;29;0;7,empty
2096600,-49,384,74;-96;4;0;0;0;0;0;0;0;-3;2;-9;9;-9;8;-10;8;-10;8;-10;8;-10;7;-10;7;-10;7;-10;6;-10;6;-10;6;-10;6;-10;6;-10;6;-10;6;-10;5;-10;5;-10;5;-10;5;-10;5;-10;5;-10;4;-9;5;-9;5;-9;5;-9;5;-5;2;-9;5;-9;5;-9;5;-8;5;-8;5;-8;5;-8;6;-8;6;-8;6;-7;6;-7;7;-7;7;-7;7;-7;7;-7;7;-7;7;-7;7;-7;7;-7;7;-7;7;-7;8;-6;8;-6;7;-6;8;-6;8;-6;8;-2;2;0;0;0;0;0;0;0;0;0;0;4;8;19;32;20;31;22;32;22;32;23;30;24;30;23;31;23;30;23;28;24;28;25;29;26;28;26;26;25;24;26;24;27;25;27;25;28;24;27;23;26;23;27;23;29;22;29;21;27;22;27;22;27;21;29;19;30;18;32;17;33;17;34;18;33;19;32;19;32;19;32;19;32;19;33;19;33;19;33;19;35;19;37;17;36;17;35;18;36;19;37;20;36;23;36;23;36;23;37;24;37;26;36;27;35;28;33;28;31;27;33;27;34;29;34;30;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12;4;-47;16;-46;16;-45;14;-44;12;-45;11;-46;10;-47;9;-47;7;-47;6;-46;7;-46;8;-45;8;-44;7;-45;6;-44;4;-44;2;-44;1;-43;3;-42;3;-40;2;-39;1;-39;2;-38;3;-38;4;-39;4;-40;5;-40;5;-39;5;-38;5;-38;5;-37;5;-37;5;-37;5;-37;7;-37;8;-37;9;-36;11;-35;13;-34;13;-35;14;-36;13;-37;12;-37;13;-36;15;-36;17;-36;16;-36;16;-36;16;-35;17;-34;17;-34;18;-35;19;-35;19;-34;18;-34;19;-34;20;-33;20;-9;4,empty
2096700,-50,384,74;-96;4;0;0;0;0;0;0;0;-3;-4;-12;-14;-11;-14;-11;-15;-11;-15;-10;-15;-10;-16;-9;-16;-8;-16;-8;-16;-8;-16;-8;-16;-8;-16;-8;-16;-7;-16;-7;-15;-7;-16;-7;-16;-6;-15;-6;-15;-6;-15;-6;-14;-6;-14;-6;-14;-6;-14;-7;-14;-7;-14;-4;-7;-7;-13;-7;-13;-7;-13;-7;-13;-7;-13;-7;-13;-8;-12;-8;-12;-8;-12;-8;-11;-9;-11;-9;-11;-9;-11;-9;-11;-9;-11;-9;-11;-10;-11;-10;-11;-10;-11;-10;-11;-10;-11;-10;-10;-10;-10;-11;-10;-11;-10;-11;-10;-3;-3;0;0;0;0;0;0;0;0;0;0;-9;10;-32;43;-29;46;-29;47;-29;45;-27;44;-25;45;-25;46;-25;46;-24;46;-24;45;-24;45;-24;45;-23;46;-21;46;-19;47;-17;48;-15;49;-15;49;-16;47;-15;46;-14;46;-13;47;-12;48;-11;47;-11;47;-11;48;-8;49;-6;49;-6;49;-6;49;-5;50;-6;52;-6;52;-5;52;-3;52;-3;54;-4;54;-4;54;-4;55;-5;55;-5;55;-2;57;0;59;-1;60;-5;60;-8;59;-9;59;-10;59;-12;58;-14;57;-16;56;-16;57;-16;59;-14;59;-16;59;-19;58;-20;57;-5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11;-12;-43;-49;-42;-52;-42;-55;-42;-56;-39;-56;-35;-56;-33;-57;-32;-57;-30;-57;-30;-57;-31;-56;-32;-57;-32;-58;-30;-58;-27;-57;-26;-56;-26;-57;-25;-56;-24;-54;-25;-54;-24;-54;-23;-53;-24;-52;-26;-52;-26;-50;-27;-49;-27;-49;-26;-49;-26;-49;-27;-48;-28;-47;-28;-47;-28;-46;-29;-46;-30;-45;-30;-44;-31;-42;-33;-41;-35;-41;-36;-41;-36;-41;-36;-41;-37;-39;-37;-39;-37;-38;-36;-37;-36;-37;-38;-37;-39;-37;-41;-35;-42;-34;-41;-34;-41;-35;-43;-34;-45;-33;-45;-34;-44;-33;-11;-9,empty
