timestamp_ms,rssi,csi_len,csi_bytes,label
1010644,-52,384,74;-96;4;0;0;0;0;0;0;0;4;-4;17;-13;18;-12;18;-11;18;-10;18;-10;18;-9;19;-8;19;-8;19;-8;18;-8;18;-8;18;-8;18;-7;17;-7;17;-6;17;-6;17;-6;16;-5;16;-5;16;-5;16;-5;16;-5;15;-5;15;-6;15;-6;15;-6;7;-3;14;-6;14;-6;14;-6;13;-7;13;-6;13;-6;13;-7;13;-7;12;-8;12;-9;12;-9;11;-9;11;-9;12;-9;12;-9;11;-10;11;-10;11;-10;11;-10;11;-10;11;-11;10;-11;10;-11;10;-11;10;-12;10;-12;2;-3;0;0;0;0;0;0;0;0;0;0;-7;-4;-25;-14;-26;-14;-27;-14;-27;-13;-27;-12;-27;-11;-27;-12;-26;-11;-26;-10;-27;-10;-27;-10;-28;-9;-27;-9;-26;-8;-27;-7;-28;-6;-28;-6;-27;-6;-27;-6;-27;-6;-28;-5;-28;-4;-27;-4;-27;-4;-27;-4;-27;-3;-27;-1;-27;0;-28;0;-28;1;-29;1;-29;0;-29;0;-29;0;-29;1;-29;1;-29;0;-29;0;-30;0;-31;1;-31;2;-30;3;-31;3;-32;2;-33;1;-33;0;-33;-1;-33;-2;-34;-3;-35;-3;-34;-4;-34;-5;-33;-6;-32;-6;-33;-6;-34;-7;-34;-8;-9;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;-7;30;-28;31;-27;31;-25;31;-24;31;-23;33;-22;33;-20;33;-19;33;-19;32;-19;31;-20;32;-20;33;-19;33;-18;31;-16;31;-16;31;-16;31;-15;30;-14;29;-13;29;-13;29;-13;28;-14;27;-15;26;-16;25;-17;25;-17;25;-16;25;-15;25;-15;24;-16;24;-16;23;-16;22;-16;22;-17;22;-18;21;-19;19;-20;19;-21;19;-21;20;-21;20;-21;19;-22;19;-22;18;-22;18;-23;18;-23;18;-23;17;-23;16;-23;15;-24;15;-25;15;-25;15;-25;15;-26;15;-26;15;-25;3;-6,motion
1010744,-53,384,74;-96;4;0;0;0;0;0;0;0;4;3;16;13;16;13;15;14;14;15;14;15;13;15;13;15;13;15;12;15;11;15;12;15;12;15;11;14;11;15;10;15;10;15;10;15;10;14;9;14;9;13;9;13;9;13;9;12;9;12;10;12;10;12;5;6;10;11;10;11;10;11;10;10;10;10;10;10;10;10;10;9;11;9;11;8;11;8;11;8;11;8;12;8;12;7;12;7;12;7;13;6;13;6;13;6;13;6;13;6;13;5;13;5;13;5;14;5;3;1;0;0;0;0;0;0;0;0;0;0;4;-6;17;-23;16;-23;16;-23;15;-24;14;-25;14;-25;13;-24;13;-24;12;-24;12;-25;12;-25;11;-25;11;-25;10;-24;8;-25;8;-26;8;-26;7;-27;7;-26;7;-26;7;-27;6;-27;5;-26;6;-25;6;-25;6;-26;4;-26;2;-26;2;-27;1;-29;1;-30;2;-29;3;-28;2;-28;2;-28;2;-28;3;-29;2;-29;2;-29;1;-31;0;-31;-1;-31;0;-31;1;-32;2;-33;3;-33;3;-33;3;-33;4;-33;5;-33;6;-34;7;-34;8;-33;9;-31;9;-32;9;-34;9;-34;2;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;21;35;20;35;18;34;16;34;15;34;14;35;13;36;12;37;11;36;11;34;12;34;12;35;12;35;11;34;10;33;8;33;8;33;8;32;8;31;7;30;7;29;7;30;8;29;9;27;10;27;11;28;11;28;10;27;10;26;10;26;10;25;9;24;9;24;10;24;11;25;12;24;14;23;16;22;16;21;16;22;16;22;16;22;16;21;17;21;18;20;18;21;18;21;19;20;18;20;18;19;20;18;22;18;22;19;20;18;21;18;21;18;20;17;5;4,motion
1010844,-52,384,74;-96;4;0;0;0;0;0;0;0;4;3;16;13;15;14;14;14;14;15;13;15;13;15;12;16;12;16;11;16;11;16;11;16;10;16;10;16;9;16;9;16;9;16;9;15;8;15;8;15;8;14;8;14;8;14;8;14;8;14;8;14;9;13;4;6;8;13;8;12;8;12;9;12;8;11;8;11;8;11;9;11;10;11;10;10;10;10;10;10;10;10;10;10;11;10;11;9;11;9;11;9;12;9;12;8;12;8;12;8;12;8;12;8;12;8;12;8;3;2;0;0;0;0;0;0;0;0;0;0;3;-7;13;-25;13;-25;13;-26;12;-26;11;-27;10;-27;10;-26;10;-26;9;-26;9;-27;9;-27;9;-27;9;-26;8;-26;7;-27;6;-27;6;-27;5;-27;5;-27;5;-27;5;-28;4;-27;4;-27;4;-26;5;-26;4;-27;2;-27;0;-27;0;-27;0;-28;0;-30;0;-29;0;-28;0;-29;0;-29;1;-29;1;-29;1;-29;1;-29;1;-30;-1;-31;-1;-31;0;-31;0;-32;1;-32;2;-33;2;-33;2;-33;3;-34;4;-35;5;-34;7;-34;7;-32;7;-30;7;-31;8;-34;10;-35;2;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;31;27;29;27;27;28;25;28;25;28;24;30;22;32;21;32;21;32;20;31;21;30;22;31;21;31;20;31;19;30;17;30;17;31;16;29;16;28;14;28;14;28;15;27;15;26;16;25;16;25;17;25;17;25;16;25;15;24;16;23;16;22;15;23;15;23;16;22;17;22;17;21;18;19;20;19;20;19;21;19;21;19;21;18;21;18;21;18;22;18;22;18;22;18;22;17;22;17;21;16;23;15;25;15;24;16;24;15;24;15;25;15;24;14;5;3,motion
1010945,-53,384,74;-96;4;0;0;0;0;0;0;0;-6;0;-22;1;-22;1;-21;0;-21;-1;-21;-2;-21;-2;-21;-2;-21;-3;-20;-3;-20;-3;-20;-3;-20;-4;-19;-4;-18;-4;-18;-5;-19;-5;-18;-5;-18;-5;-17;-5;-17;-5;-16;-5;-16;-4;-16;-4;-16;-4;-16;-4;-17;-3;-8;-2;-16;-3;-16;-3;-15;-3;-15;-3;-15;-3;-15;-3;-15;-2;-15;-2;-15;-1;-15;-1;-15;0;-15;0;-15;0;-15;0;-15;1;-15;1;-15;1;-15;2;-15;2;-15;2;-15;2;-15;2;-15;2;-15;3;-15;3;-15;3;-4;0;0;0;0;0;0;0;0;0;0;0;1;6;4;27;5;26;6;27;7;27;8;27;8;26;8;26;8;25;9;25;10;25;10;25;9;25;9;24;10;22;11;23;12;23;13;24;13;24;12;23;12;23;13;23;13;22;13;21;13;21;13;21;13;21;14;20;16;19;17;20;18;21;18;21;18;22;16;22;17;21;17;21;17;21;17;22;17;22;18;23;19;23;19;22;20;21;20;22;20;23;19;25;19;25;19;26;18;26;18;27;17;28;16;28;15;29;14;29;14;27;14;28;14;30;13;32;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;-1;-40;-2;-40;-3;-39;-5;-39;-7;-39;-7;-38;-8;-37;-10;-37;-11;-37;-11;-36;-10;-36;-10;-37;-10;-37;-11;-36;-11;-34;-12;-32;-13;-32;-13;-32;-12;-31;-12;-30;-13;-30;-13;-29;-12;-28;-11;-28;-10;-29;-9;-30;-8;-30;-8;-29;-9;-28;-9;-28;-8;-28;-7;-28;-7;-28;-8;-27;-7;-28;-7;-28;-5;-27;-3;-27;-2;-28;-2;-29;-2;-29;-1;-29;-1;-29;-1;-28;0;-28;0;-29;0;-28;0;-29;0;-28;0;-27;1;-27;2;-29;4;-29;3;-28;3;-29;3;-29;4;-27;4;-7;1,motion
1011044,-53,384,74;-96;4;0;0;0;0;0;0;0;3;3;15;14;15;14;14;15;13;15;12;15;12;16;11;16;11;16;10;16;10;16;10;16;10;16;9;16;9;16;8;16;9;16;8;16;7;15;7;15;7;15;6;14;7;14;7;14;7;14;8;13;8;13;4;6;7;13;7;12;8;12;8;12;8;12;7;12;7;11;8;11;8;11;9;10;9;10;9;10;9;10;10;10;10;10;10;10;10;9;11;9;11;9;11;9;11;9;11;9;11;8;11;8;12;8;12;8;3;2;0;0;0;0;0;0;0;0;0;0;4;-6;17;-21;17;-22;17;-22;16;-23;16;-24;15;-24;14;-23;14;-23;14;-23;14;-24;14;-24;14;-24;14;-24;12;-24;11;-25;10;-26;10;-26;10;-25;10;-25;10;-25;9;-26;8;-26;8;-25;9;-24;9;-24;8;-25;6;-26;5;-26;5;-26;4;-27;4;-28;5;-28;5;-27;5;-28;5;-28;6;-28;7;-28;7;-28;6;-28;5;-29;4;-30;4;-30;5;-30;6;-30;7;-31;8;-32;8;-32;8;-31;10;-32;11;-32;12;-32;13;-32;14;-31;14;-29;14;-30;15;-31;16;-31;4;-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;25;31;23;31;21;31;20;32;19;31;18;33;17;35;15;35;14;35;14;33;16;33;16;33;15;33;14;32;12;31;11;32;11;32;11;31;10;30;9;29;8;29;8;29;10;28;11;26;11;26;12;27;12;27;11;26;11;25;11;25;12;25;11;25;11;25;11;24;12;24;13;23;15;22;16;22;16;21;17;21;17;22;17;22;17;21;17;21;18;21;18;21;18;21;18;21;18;20;18;20;19;19;21;18;21;19;21;18;21;18;22;18;21;18;5;4,motion
1011144,-53,384,74;-96;4;0;0;0;0;0;0;0;1;-5;7;-20;8;-20;8;-19;9;-19;9;-18;10;-18;10;-18;10;-18;10;-17;11;-17;11;-17;10;-16;10;-16;11;-15;11;-15;11;-15;11;-15;10;-14;10;-14;10;-13;9;-13;9;-13;9;-13;9;-13;9;-13;9;-14;4;-7;8;-13;8;-13;8;-13;7;-13;7;-13;7;-13;6;-13;6;-13;6;-14;5;-14;5;-14;5;-14;5;-14;4;-14;4;-14;4;-15;4;-15;3;-15;3;-15;3;-15;3;-15;3;-15;2;-15;2;-15;2;-15;2;-15;0;-4;0;0;0;0;0;0;0;0;0;0;-7;-3;-27;-9;-27;-9;-28;-8;-28;-7;-28;-6;-28;-6;-27;-6;-27;-6;-27;-4;-28;-4;-28;-4;-28;-3;-27;-3;-26;-3;-26;-2;-28;-1;-28;0;-28;0;-27;0;-27;0;-27;0;-27;2;-26;2;-26;1;-26;1;-26;2;-25;4;-25;5;-26;6;-27;6;-27;7;-27;6;-27;5;-28;5;-28;6;-29;6;-29;6;-28;6;-29;6;-29;7;-28;8;-29;8;-30;8;-31;8;-32;7;-32;6;-32;5;-32;5;-32;5;-33;4;-33;3;-33;2;-33;1;-32;1;-32;1;-34;1;-35;0;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;-9;21;-34;23;-33;24;-30;25;-28;25;-28;27;-29;28;-28;28;-27;27;-25;26;-25;25;-26;26;-26;27;-26;27;-25;27;-23;28;-21;27;-20;25;-20;25;-20;26;-19;25;-18;24;-19;22;-19;21;-20;21;-21;21;-22;21;-22;21;-20;20;-20;19;-20;19;-20;19;-20;19;-20;18;-21;18;-21;17;-21;15;-22;14;-23;14;-23;14;-24;14;-24;14;-24;14;-24;13;-24;13;-25;13;-25;13;-25;12;-26;11;-25;11;-24;10;-25;10;-27;10;-27;10;-26;10;-26;10;-28;8;-27;2;-7,motion
1011245,-52,384,74;-96;4;0;0;0;0;0;0;0;0;5;3;21;2;21;1;21;0;21;0;20;-1;20;-1;20;-2;20;-2;20;-2;19;-3;20;-3;19;-3;19;-3;18;-3;18;-3;18;-3;18;-4;17;-3;17;-3;16;-4;16;-3;16;-3;16;-3;16;-3;16;-2;16;-1;8;-2;15;-2;15;-2;15;-2;15;-1;15;-1;14;-1;14;-1;14;0;14;1;14;1;14;1;14;1;14;1;14;2;14;2;14;2;14;3;14;3;14;3;14;3;14;3;14;3;14;4;14;4;14;4;14;1;3;0;0;0;0;0;0;0;0;0;0;6;-3;26;-12;26;-12;26;-12;26;-13;25;-14;25;-15;24;-14;24;-14;24;-15;24;-15;25;-15;24;-15;23;-15;22;-16;21;-18;21;-19;21;-19;21;-18;21;-18;21;-18;20;-19;20;-19;19;-19;19;-18;19;-18;19;-18;18;-20;17;-21;16;-22;16;-23;16;-23;17;-23;18;-22;18;-23;18;-23;18;-22;19;-21;19;-22;19;-23;18;-24;17;-25;17;-26;18;-26;19;-26;20;-25;21;-25;21;-25;21;-25;22;-24;23;-24;24;-24;25;-22;25;-21;24;-21;24;-22;25;-23;27;-22;6;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;6;40;4;40;2;39;-1;39;-1;39;-1;39;-3;39;-4;38;-4;38;-4;37;-2;37;-2;38;-3;37;-5;36;-6;35;-7;35;-7;35;-6;34;-7;32;-8;31;-9;30;-7;31;-5;31;-4;30;-3;30;-2;31;-2;31;-3;30;-3;29;-3;29;-3;28;-3;28;-3;28;-3;28;-2;28;0;28;2;28;3;27;3;27;3;27;4;28;5;28;5;28;5;27;6;28;5;28;5;27;6;28;7;28;8;27;9;27;10;27;10;27;9;26;9;27;10;27;9;26;2;6,motion
1011344,-52,384,74;-96;4;0;0;0;0;0;0;0;4;2;17;11;17;12;16;13;16;13;15;13;15;14;14;14;14;14;13;14;13;14;13;14;13;14;12;14;12;14;11;14;11;14;11;14;11;13;10;13;10;13;9;13;9;13;10;12;10;12;10;12;10;12;5;5;10;11;10;11;10;11;10;10;10;10;10;10;10;10;10;9;11;9;12;8;12;8;11;8;11;8;12;8;12;8;12;7;12;7;13;7;13;7;13;6;13;6;13;6;13;6;13;5;13;5;14;5;3;1;0;0;0;0;0;0;0;0;0;0;2;-7;10;-26;10;-27;10;-28;9;-28;8;-28;7;-28;7;-28;7;-27;6;-27;6;-27;6;-28;5;-28;5;-28;4;-27;3;-28;2;-28;2;-28;2;-27;1;-27;1;-27;0;-28;0;-28;0;-27;1;-27;1;-26;0;-27;-1;-27;-2;-26;-3;-27;-4;-28;-5;-29;-4;-29;-4;-29;-4;-29;-4;-29;-4;-29;-3;-29;-3;-29;-3;-30;-4;-30;-5;-30;-6;-31;-5;-31;-5;-31;-5;-33;-4;-34;-4;-34;-3;-34;-2;-34;-1;-35;0;-35;0;-34;1;-33;2;-32;2;-32;3;-34;4;-36;1;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;32;25;30;25;28;26;27;27;26;27;25;29;25;30;24;30;23;31;23;30;23;30;23;29;22;28;21;28;20;28;19;29;19;29;19;28;18;27;16;26;15;26;16;26;17;25;18;23;18;23;19;23;19;23;18;23;17;22;18;22;18;21;17;21;18;21;18;20;19;19;19;19;20;17;21;17;21;16;21;16;22;17;23;17;23;16;23;15;24;15;24;15;24;15;24;14;23;14;23;13;24;12;26;12;26;12;26;11;26;11;26;12;25;11;6;2,motion
1011444,-52,384,74;-96;4;0;0;0;0;0;0;0;0;-6;1;-22;1;-22;2;-21;2;-21;3;-21;3;-21;4;-21;4;-21;4;-20;5;-20;5;-20;5;-20;5;-19;6;-18;6;-18;6;-18;5;-18;5;-18;5;-17;5;-17;5;-16;4;-16;4;-16;4;-16;4;-16;4;-16;1;-8;3;-16;3;-16;3;-16;3;-16;3;-15;2;-15;2;-15;1;-15;1;-16;0;-15;0;-15;0;-15;0;-15;-1;-15;-1;-16;-1;-16;-2;-16;-2;-16;-3;-16;-3;-15;-3;-15;-3;-15;-3;-15;-3;-15;-3;-15;-3;-16;-1;-4;0;0;0;0;0;0;0;0;0;0;-7;1;-28;7;-28;8;-28;8;-28;9;-28;10;-27;10;-27;10;-27;10;-26;10;-26;11;-26;12;-26;13;-26;13;-25;12;-24;13;-25;14;-25;14;-24;14;-23;14;-23;14;-23;15;-23;15;-22;16;-22;15;-22;15;-22;15;-21;16;-20;17;-20;18;-19;19;-19;19;-21;19;-21;18;-21;19;-21;20;-21;19;-22;19;-22;20;-22;20;-22;21;-21;21;-22;21;-22;21;-23;21;-25;21;-25;21;-25;21;-25;22;-26;21;-27;20;-27;20;-29;19;-29;18;-29;17;-28;17;-29;17;-30;17;-8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-11;-1;-42;0;-41;3;-40;4;-40;5;-40;5;-39;6;-39;6;-39;7;-38;8;-37;7;-37;7;-37;9;-36;10;-35;10;-34;11;-34;11;-34;10;-33;10;-32;10;-31;10;-30;10;-31;9;-31;8;-30;7;-31;6;-31;5;-31;5;-30;5;-30;5;-29;5;-28;5;-28;5;-28;5;-29;4;-29;2;-29;0;-29;-1;-29;-1;-29;-1;-29;-1;-29;-2;-30;-2;-30;-3;-29;-3;-29;-4;-29;-4;-29;-5;-29;-4;-29;-4;-28;-5;-28;-6;-29;-6;-29;-7;-29;-7;-29;-8;-29;-8;-29;-2;-8,motion
1011544,-52,384,74;-96;4;0;0;0;0;0;0;0;-3;4;-12;18;-12;17;-13;17;-14;16;-14;16;-14;16;-15;15;-14;15;-14;14;-15;14;-15;14;-15;13;-14;13;-14;12;-14;12;-15;12;-14;12;-14;11;-14;11;-13;11;-13;10;-13;10;-13;11;-12;11;-12;11;-12;11;-6;5;-11;11;-11;11;-11;11;-11;11;-10;11;-10;11;-10;11;-9;11;-9;12;-9;12;-8;12;-8;12;-8;12;-8;13;-7;13;-7;13;-7;13;-6;13;-6;14;-6;14;-6;13;-6;13;-6;13;-5;14;-5;14;-5;14;-2;3;0;0;0;0;0;0;0;0;0;0;6;1;26;6;28;5;28;5;28;4;28;3;28;3;28;3;27;3;27;1;28;1;28;1;28;1;27;0;26;-1;27;-2;27;-3;27;-4;26;-4;26;-3;26;-3;27;-4;26;-4;25;-5;25;-5;26;-4;26;-5;25;-6;25;-8;25;-9;25;-10;26;-10;26;-9;27;-8;27;-9;27;-9;28;-9;28;-9;28;-9;28;-9;28;-10;28;-11;28;-12;29;-12;30;-11;31;-10;31;-9;31;-9;31;-8;32;-7;32;-6;32;-6;32;-5;32;-4;33;-4;33;-5;33;-4;33;-2;8;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;9;-19;36;-21;34;-23;32;-24;31;-25;31;-25;31;-25;29;-26;28;-27;28;-26;27;-25;28;-25;28;-26;27;-26;26;-26;25;-26;24;-26;24;-25;23;-25;22;-25;21;-25;20;-24;20;-23;21;-22;22;-21;22;-20;23;-20;23;-20;22;-20;21;-20;21;-19;21;-19;20;-19;21;-18;21;-18;22;-17;23;-15;24;-14;25;-13;25;-14;25;-14;25;-13;25;-13;25;-12;25;-12;26;-12;26;-12;26;-11;26;-10;26;-9;25;-9;26;-8;27;-8;27;-8;27;-8;28;-8;28;-8;27;-2;6,motion
