timestamp_ms,rssi,csi_len,csi_bytes,label
3108899,-56,384,74;-96;4;0;0;0;0;0;0;0;-2;-6;-8;-23;-7;-23;-7;-24;-6;-24;-5;-23;-4;-23;-4;-23;-3;-23;-3;-23;-2;-23;-2;-23;-2;-23;-2;-23;-1;-22;-1;-22;0;-22;-1;-22;0;-21;0;-21;0;-20;0;-20;0;-20;0;-20;-1;-20;-1;-20;-1;-20;-1;-10;-2;-19;-2;-19;-2;-20;-2;-19;-3;-19;-3;-19;-3;-19;-3;-18;-4;-19;-5;-19;-5;-18;-5;-18;-5;-18;-6;-18;-6;-18;-6;-19;-7;-19;-7;-18;-7;-18;-7;-18;-8;-18;-8;-18;-8;-18;-8;-18;-9;-18;-9;-18;-3;-5;0;0;0;0;0;0;0;0;0;0;-10;2;-37;11;-37;13;-37;14;-37;12;-37;13;-36;14;-36;14;-36;14;-35;14;-35;15;-35;15;-35;15;-35;15;-33;15;-32;16;-33;18;-34;20;-34;20;-33;18;-33;17;-33;17;-32;18;-31;20;-31;19;-31;18;-31;19;-29;20;-28;23;-30;23;-30;24;-30;24;-32;23;-33;23;-32;23;-30;23;-31;23;-33;23;-34;24;-34;23;-34;23;-33;23;-32;24;-33;26;-35;26;-37;25;-38;22;-38;20;-38;19;-38;18;-38;17;-39;16;-40;15;-40;15;-39;16;-38;16;-39;14;-40;12;-10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-11;-10;-43;-9;-44;-6;-45;-4;-45;-5;-44;-3;-43;-1;-44;1;-44;2;-44;1;-42;0;-42;-1;-44;0;-45;1;-45;3;-43;5;-41;5;-40;4;-39;4;-39;4;-39;5;-38;5;-38;3;-37;2;-37;1;-37;0;-36;0;-37;1;-37;2;-37;1;-36;0;-36;0;-36;0;-36;0;-35;-1;-36;-1;-35;-3;-34;-6;-35;-7;-36;-8;-37;-7;-37;-6;-36;-6;-36;-8;-36;-8;-36;-7;-36;-7;-36;-8;-36;-9;-37;-10;-36;-11;-36;-12;-38;-12;-38;-10;-36;-11;-37;-12;-38;-12;-37;-4;-9,occupied
3108999,-57,384,74;-96;4;0;0;0;0;0;0;0;-6;0;-23;2;-23;1;-23;0;-23;-1;-23;-1;-23;-2;-22;-2;-22;-3;-22;-4;-22;-4;-22;-4;-22;-4;-22;-4;-21;-5;-21;-5;-21;-5;-20;-5;-20;-5;-19;-5;-19;-5;-19;-5;-19;-5;-19;-5;-19;-4;-19;-4;-19;-4;-10;-2;-18;-4;-18;-3;-18;-3;-18;-3;-18;-2;-18;-2;-18;-2;-18;-2;-18;-1;-18;0;-18;1;-17;1;-18;1;-18;1;-18;1;-18;1;-18;2;-18;2;-18;2;-17;2;-18;2;-18;3;-18;3;-18;3;-19;3;-18;3;-5;0;0;0;0;0;0;0;0;0;0;0;-1;8;-4;33;-2;34;-1;35;0;35;1;34;2;34;2;33;2;33;2;33;3;33;3;34;4;33;5;32;5;32;6;32;7;33;8;33;8;32;8;30;7;31;8;31;10;31;9;32;8;32;7;31;8;31;11;30;13;29;14;29;15;29;15;30;14;30;13;31;13;31;13;31;13;32;13;33;13;33;14;31;15;30;16;29;15;31;14;33;14;34;14;35;13;35;12;34;13;34;13;35;12;36;11;35;10;36;9;35;8;34;8;36;8;37;8;38;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11;-3;-44;-12;-42;-13;-41;-15;-41;-17;-40;-17;-40;-17;-39;-19;-37;-21;-37;-21;-38;-20;-38;-19;-38;-20;-37;-21;-35;-21;-34;-22;-33;-23;-33;-23;-33;-21;-32;-20;-30;-20;-28;-20;-29;-20;-30;-18;-31;-18;-31;-18;-31;-17;-31;-18;-30;-18;-30;-17;-30;-17;-30;-16;-30;-16;-31;-15;-30;-14;-30;-14;-31;-12;-32;-10;-32;-9;-32;-10;-33;-10;-33;-9;-32;-8;-32;-7;-33;-7;-34;-7;-34;-7;-34;-6;-34;-5;-34;-5;-35;-6;-35;-4;-35;-3;-35;-4;-34;-4;-35;-3;-37;-3;-36;-3;-9;-1,occupied
3110999,-55,384,74;-96;4;0;0;0;0;0;0;0;-5;-3;-17;-10;-17;-11;-17;-11;-16;-12;-16;-12;-15;-13;-15;-13;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-13;-14;-13;-14;-12;-14;-12;-14;-11;-14;-11;-14;-11;-14;-11;-14;-11;-14;-11;-13;-11;-13;-11;-13;-11;-13;-6;-7;-10;-13;-11;-12;-11;-12;-11;-12;-11;-12;-11;-12;-11;-12;-11;-11;-11;-11;-12;-11;-13;-10;-13;-10;-13;-10;-13;-10;-13;-10;-13;-10;-13;-10;-13;-10;-14;-10;-13;-10;-14;-10;-14;-9;-14;-9;-14;-8;-14;-9;-15;-9;-4;-3;0;0;0;0;0;0;0;0;0;0;-5;6;-19;26;-18;26;-18;26;-17;26;-16;26;-16;26;-16;26;-16;27;-15;26;-14;26;-14;26;-14;27;-14;27;-13;26;-12;26;-12;27;-12;28;-11;28;-11;27;-11;27;-11;27;-10;27;-9;27;-10;27;-10;27;-10;27;-8;27;-6;28;-5;28;-5;28;-5;28;-7;29;-7;29;-7;29;-7;29;-8;29;-8;30;-7;31;-7;31;-7;31;-6;31;-6;32;-7;32;-8;32;-9;33;-10;32;-11;32;-11;31;-11;30;-11;30;-12;30;-12;30;-14;31;-14;31;-14;30;-14;30;-16;30;-4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8;-6;-31;-23;-29;-24;-27;-25;-27;-27;-26;-27;-25;-27;-25;-28;-24;-28;-23;-29;-23;-28;-23;-28;-23;-28;-23;-30;-22;-30;-21;-29;-19;-29;-18;-30;-18;-29;-19;-28;-17;-28;-17;-28;-17;-28;-18;-27;-18;-27;-19;-26;-19;-25;-18;-25;-18;-25;-18;-25;-18;-26;-18;-25;-18;-25;-19;-25;-19;-25;-19;-25;-20;-24;-21;-22;-22;-22;-22;-22;-23;-22;-23;-22;-23;-22;-23;-21;-23;-21;-23;-20;-23;-19;-24;-19;-25;-19;-25;-20;-25;-19;-25;-19;-27;-19;-26;-19;-25;-19;-26;-19;-27;-18;-27;-18;-7;-5,occupied
3111099,-55,384,74;-96;4;0;0;0;0;0;0;0;1;-3;4;-10;4;-10;5;-9;5;-9;5;-9;6;-9;6;-9;6;-9;6;-9;6;-8;6;-8;7;-8;6;-8;6;-8;6;-7;7;-7;7;-7;6;-7;6;-7;6;-7;6;-7;6;-7;6;-7;6;-7;6;-7;6;-7;3;-4;6;-7;5;-7;5;-7;5;-7;5;-7;5;-7;5;-7;4;-7;4;-7;4;-7;4;-7;4;-7;4;-7;4;-8;4;-8;4;-8;4;-8;3;-8;3;-8;3;-8;3;-8;3;-8;3;-8;3;-9;3;-9;3;-8;0;-2;0;0;0;0;0;0;0;0;0;0;-8;-4;-31;-14;-32;-12;-33;-13;-33;-12;-33;-11;-32;-11;-32;-11;-33;-11;-31;-10;-31;-9;-32;-10;-32;-11;-32;-11;-31;-10;-30;-9;-31;-7;-32;-6;-31;-5;-31;-5;-30;-5;-31;-5;-32;-4;-32;-4;-31;-4;-31;-5;-31;-3;-31;0;-32;1;-33;1;-34;2;-34;2;-34;1;-35;1;-35;1;-32;2;-32;1;-33;0;-33;-1;-34;0;-35;1;-36;2;-36;3;-35;4;-34;3;-36;1;-38;-2;-38;-2;-37;-2;-39;-3;-40;-4;-40;-6;-39;-6;-37;-7;-36;-6;-37;-6;-39;-8;-39;-9;-10;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;-10;23;-36;22;-35;23;-34;23;-33;23;-33;26;-32;28;-30;28;-28;28;-28;27;-29;26;-29;25;-29;25;-28;25;-26;26;-25;28;-24;29;-25;28;-25;27;-24;27;-23;27;-22;27;-22;25;-23;25;-23;26;-23;26;-24;25;-24;24;-23;23;-22;23;-23;22;-24;22;-24;22;-24;22;-24;22;-24;20;-24;19;-25;18;-27;18;-27;17;-28;17;-28;18;-27;17;-27;17;-28;18;-29;17;-28;15;-29;14;-29;14;-28;15;-29;15;-31;15;-33;16;-32;15;-32;14;-32;14;-32;13;-32;3;-8,occupied
3111199,-53,384,74;-96;4;0;0;0;0;0;0;0;-5;0;-20;3;-20;3;-21;2;-21;1;-20;0;-20;0;-20;0;-20;-1;-20;-1;-19;-2;-20;-2;-20;-2;-19;-2;-19;-3;-19;-3;-19;-3;-19;-3;-18;-3;-18;-3;-18;-3;-17;-3;-17;-3;-17;-3;-17;-3;-17;-3;-17;-2;-9;-1;-17;-2;-16;-2;-16;-2;-16;-2;-16;-1;-16;-1;-16;-1;-16;-1;-16;0;-16;0;-16;1;-16;1;-16;1;-16;1;-16;1;-16;2;-16;2;-16;2;-16;3;-16;3;-16;3;-16;3;-16;3;-16;3;-16;3;-16;4;-4;1;0;0;0;0;0;0;0;0;0;0;2;7;9;28;9;28;10;29;11;28;12;27;12;27;12;27;12;27;12;26;13;26;14;26;14;25;14;25;13;24;14;24;15;24;16;24;16;24;16;23;15;23;16;23;17;22;17;22;16;22;16;22;16;22;17;21;18;20;19;20;21;19;21;20;21;20;20;20;20;20;20;21;20;21;20;22;20;22;21;22;22;21;22;20;22;20;22;21;21;22;22;23;22;24;22;25;22;24;22;25;21;26;21;26;20;27;18;27;17;27;18;27;19;28;18;29;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;1;-40;7;-39;5;-38;3;-38;2;-38;1;-39;0;-39;-1;-38;-2;-38;-3;-37;-2;-38;-2;-38;-2;-37;-2;-37;-4;-36;-5;-35;-6;-36;-6;-35;-5;-33;-6;-31;-6;-31;-6;-31;-6;-31;-6;-31;-5;-32;-4;-32;-3;-32;-3;-31;-3;-31;-3;-30;-3;-30;-3;-31;-3;-31;-2;-30;-2;-30;-1;-30;0;-30;2;-29;3;-29;3;-30;3;-30;3;-30;3;-30;4;-30;5;-31;6;-31;6;-30;6;-30;6;-29;6;-29;6;-30;7;-31;8;-30;8;-29;8;-29;9;-30;9;-30;8;-8;2,occupied
3111299,-53,384,74;-96;4;0;0;0;0;0;0;0;4;-1;19;-1;19;-1;19;0;19;0;19;1;19;1;19;2;18;2;18;2;18;3;18;3;18;4;18;4;17;4;17;4;17;4;17;4;16;5;16;5;16;4;16;4;16;4;15;4;15;4;16;4;15;4;7;1;15;3;15;3;15;3;15;2;15;2;15;2;15;2;15;1;15;1;15;1;15;1;15;1;15;0;15;0;15;0;15;-1;15;-1;15;-1;15;-2;15;-2;15;-2;15;-2;16;-2;16;-2;16;-2;16;-2;4;-1;0;0;0;0;0;0;0;0;0;0;-1;-8;-4;-32;-4;-32;-4;-31;-5;-31;-6;-31;-7;-31;-6;-30;-6;-30;-7;-30;-7;-30;-7;-30;-7;-30;-7;-30;-8;-28;-9;-28;-10;-29;-11;-29;-11;-29;-10;-28;-10;-28;-11;-28;-13;-27;-12;-27;-11;-27;-10;-28;-11;-27;-13;-26;-14;-26;-15;-26;-16;-25;-17;-26;-16;-26;-15;-26;-15;-26;-15;-27;-15;-27;-15;-28;-14;-28;-15;-28;-16;-27;-17;-27;-17;-27;-17;-28;-17;-29;-17;-30;-16;-31;-15;-31;-15;-30;-15;-31;-14;-31;-13;-32;-12;-33;-11;-33;-11;-33;-12;-33;-12;-33;-10;-34;-3;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;38;0;37;1;36;3;36;4;35;6;36;7;36;8;36;9;35;10;35;9;36;9;35;9;34;10;34;11;32;12;31;13;32;13;32;11;30;11;28;13;29;13;29;12;29;11;29;10;29;9;30;8;30;8;29;8;28;8;28;8;28;8;28;8;28;8;27;8;28;8;29;7;28;4;28;3;28;3;29;2;29;3;29;3;30;2;30;1;30;1;30;1;30;1;30;0;30;0;30;-1;30;-2;31;-3;31;-2;30;-3;30;-3;30;-3;30;-2;7;-1,occupied
3111400,-54,384,74;-96;4;0;0;0;0;0;0;0;2;3;11;15;10;16;10;16;9;16;9;16;8;17;7;17;7;17;7;17;7;17;6;17;6;17;6;17;6;17;5;17;5;16;5;16;5;16;5;16;4;15;4;15;4;15;4;15;5;15;5;14;5;14;2;7;5;14;5;14;5;14;5;14;5;14;5;13;5;13;6;13;6;13;7;12;7;12;7;12;8;12;8;12;8;12;8;12;9;12;9;12;9;12;9;12;9;12;9;11;9;11;10;11;10;11;10;11;2;2;0;0;0;0;0;0;0;0;0;0;2;-7;10;-28;9;-29;9;-29;8;-29;7;-28;7;-29;7;-29;7;-29;6;-29;5;-28;5;-28;4;-28;5;-29;5;-28;4;-27;3;-28;3;-30;3;-29;2;-28;2;-28;2;-28;1;-28;0;-28;-1;-28;-1;-28;-1;-28;-2;-28;-3;-28;-3;-28;-3;-28;-3;-28;-3;-28;-3;-29;-3;-29;-4;-30;-4;-30;-4;-30;-5;-30;-5;-31;-5;-31;-4;-30;-4;-31;-5;-32;-5;-33;-4;-33;-3;-33;-3;-32;-2;-32;-2;-31;-2;-32;-1;-32;0;-32;1;-33;1;-33;2;-32;2;-31;3;-31;0;-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;31;19;30;19;29;21;28;22;27;23;26;23;26;23;26;24;25;24;24;25;24;25;24;26;24;27;23;27;23;26;22;26;21;25;20;24;20;24;20;24;19;24;19;24;20;23;20;22;20;22;20;21;20;20;20;20;20;20;20;20;20;20;20;19;20;19;21;19;21;19;21;18;22;16;22;16;23;16;23;16;23;15;24;15;24;15;24;14;24;13;24;13;25;13;25;12;26;12;26;12;26;12;26;12;26;12;26;11;27;11;28;11;29;11;7;2,occupied
3111500,-54,384,74;-96;4;0;0;0;0;0;0;0;4;1;18;8;17;8;17;9;17;10;17;10;16;11;15;11;15;11;15;12;15;12;15;12;15;12;14;12;14;12;14;12;13;13;13;12;13;12;13;12;13;12;12;12;12;11;12;11;12;11;13;11;13;11;6;5;12;11;13;10;13;10;13;10;12;9;13;9;13;9;13;9;13;8;13;8;13;7;14;8;14;8;14;7;14;7;14;7;15;7;15;7;15;7;15;6;15;6;15;6;15;6;15;6;16;6;16;6;4;1;0;0;0;0;0;0;0;0;0;0;4;-7;18;-28;18;-29;18;-29;17;-29;15;-29;14;-29;15;-30;15;-30;14;-29;13;-28;14;-28;15;-28;14;-29;12;-28;11;-29;11;-31;11;-32;10;-32;10;-31;10;-30;9;-30;8;-30;8;-30;9;-29;10;-29;9;-30;7;-31;5;-31;4;-31;3;-31;3;-32;5;-32;6;-32;5;-32;5;-32;6;-33;6;-33;6;-34;6;-34;6;-34;4;-33;4;-34;5;-35;5;-36;6;-36;7;-35;7;-35;7;-35;8;-34;9;-34;10;-33;11;-33;12;-33;13;-33;12;-33;12;-33;13;-33;3;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;29;25;28;25;27;26;26;28;25;29;23;29;22;29;21;31;20;31;21;29;22;28;22;29;21;31;20;31;19;31;18;31;17;31;17;29;16;29;15;30;15;29;15;29;17;28;17;27;18;27;19;26;18;25;18;25;18;25;18;25;18;24;17;24;18;25;18;25;18;25;18;24;20;22;21;21;22;22;23;22;22;22;22;21;23;21;24;20;24;20;24;21;24;22;24;21;25;20;25;20;26;18;27;18;26;18;26;19;28;19;28;19;28;18;6;4,occupied
3111599,-54,384,74;-96;4;0;0;0;0;0;0;0;-3;-5;-9;-17;-9;-18;-8;-18;-8;-18;-7;-18;-6;-18;-6;-19;-5;-19;-5;-18;-5;-18;-5;-18;-4;-19;-4;-18;-4;-18;-4;-18;-3;-18;-3;-18;-3;-17;-3;-17;-3;-17;-3;-17;-3;-17;-3;-16;-3;-16;-3;-16;-3;-16;-2;-8;-3;-16;-4;-16;-4;-16;-4;-15;-4;-15;-4;-15;-5;-15;-5;-15;-5;-15;-6;-14;-6;-14;-6;-14;-6;-14;-7;-14;-7;-14;-7;-14;-7;-14;-7;-14;-8;-14;-8;-14;-8;-14;-8;-14;-8;-14;-9;-14;-9;-14;-9;-14;-3;-4;0;0;0;0;0;0;0;0;0;0;-7;3;-26;15;-26;17;-26;17;-26;16;-25;16;-24;17;-24;17;-24;18;-23;18;-24;17;-24;17;-24;18;-23;17;-22;17;-21;18;-21;20;-21;21;-21;21;-20;20;-20;19;-20;19;-19;20;-19;21;-20;21;-20;21;-19;21;-17;21;-16;23;-16;23;-15;24;-15;25;-17;24;-18;24;-17;24;-16;24;-17;25;-18;25;-18;24;-18;25;-19;25;-17;24;-17;25;-17;27;-18;28;-19;27;-20;26;-20;25;-20;25;-22;24;-23;23;-23;21;-24;21;-24;21;-23;21;-23;22;-24;21;-24;21;-7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;-8;-15;-32;-14;-34;-12;-35;-10;-35;-10;-34;-9;-35;-7;-36;-6;-36;-5;-35;-5;-33;-7;-33;-7;-34;-6;-36;-6;-36;-5;-35;-3;-33;-3;-34;-3;-33;-3;-33;-1;-33;-1;-32;-2;-32;-3;-31;-5;-30;-5;-30;-5;-30;-5;-30;-4;-30;-5;-29;-5;-29;-6;-29;-5;-30;-5;-30;-5;-29;-5;-29;-6;-28;-8;-26;-10;-26;-11;-28;-11;-28;-11;-28;-11;-28;-11;-27;-12;-27;-12;-28;-11;-28;-11;-27;-12;-28;-12;-28;-13;-27;-15;-26;-16;-27;-15;-27;-15;-27;-17;-27;-17;-28;-16;-28;-4;-7,occupied
3111700,-53,384,74;-96;4;0;0;0;0;0;0;0;-1;-5;-4;-20;-3;-20;-2;-20;-2;-20;-1;-20;0;-20;1;-20;1;-20;1;-20;1;-19;1;-19;1;-19;1;-19;2;-19;2;-19;3;-18;3;-18;2;-18;3;-17;3;-17;3;-17;3;-17;2;-16;2;-16;2;-17;1;-17;0;-9;1;-16;1;-16;1;-16;1;-16;1;-16;0;-16;0;-16;0;-16;-1;-16;-1;-16;-2;-15;-2;-15;-2;-16;-2;-16;-2;-16;-3;-16;-3;-16;-3;-16;-3;-16;-3;-16;-3;-16;-4;-16;-4;-16;-5;-16;-5;-16;-5;-16;-2;-4;0;0;0;0;0;0;0;0;0;0;-8;1;-31;4;-31;6;-31;6;-31;5;-30;6;-29;7;-29;8;-29;8;-29;9;-29;8;-29;7;-29;7;-28;8;-27;10;-27;11;-27;12;-27;12;-27;12;-26;12;-26;11;-26;11;-26;12;-26;13;-26;13;-25;12;-25;13;-24;15;-24;16;-24;17;-24;17;-24;17;-25;17;-25;17;-24;17;-24;18;-24;18;-25;17;-26;17;-26;17;-26;17;-26;18;-26;19;-26;20;-26;20;-27;19;-28;18;-29;17;-29;16;-30;16;-31;14;-31;13;-31;13;-31;14;-30;15;-30;14;-31;12;-32;11;-8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;1;-37;2;-37;3;-37;4;-37;5;-37;7;-36;10;-35;10;-35;10;-35;10;-34;9;-35;9;-36;9;-36;10;-35;11;-33;11;-32;11;-32;11;-31;12;-31;12;-31;12;-31;12;-30;10;-31;9;-31;8;-31;7;-30;7;-30;8;-29;8;-29;8;-29;7;-30;7;-30;7;-29;7;-28;7;-29;5;-29;3;-29;1;-29;0;-30;0;-30;1;-30;1;-30;1;-30;0;-30;0;-30;1;-30;0;-30;-1;-30;-2;-31;-3;-30;-4;-31;-4;-31;-3;-31;-4;-30;-5;-31;-5;-31;-4;-31;-1;-8,occupied
